"CBLS County-level Summary Data for GA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
155,Irwin County,70,8.79396984924623%,0,0,4149,683,21.9999998807907%,796
157,Jackson County,330,8.67964229352972%,1,0,16226,2175,11.9999997317791%,3802
159,Jasper County,118,11.9918699186992%,0,0,4806,801,15.9999996423721%,984
161,Jeff Davis County,61,5.09181969949917%,0,0,5581,545,21.9999998807907%,1198
163,Jefferson County,98,6.43889618922471%,1,0,7221,1077,31.0000002384186%,1522
165,Jenkins County,41,5.3177691309987%,0,0,3907,642,47.9999989271164%,771
167,Johnson County,114,15.9887798036466%,1,0,3634,663,30.0000011920929%,713
169,Jones County,64,3.4279592929834%,0,0,9272,713,11.9999997317791%,1867
171,Lamar County,53,4.09582689335394%,0,0,6145,1073,17.0000001788139%,1294
173,Lanier County,51,8.29268292682927%,0,0,3011,303,31.9999992847443%,615
175,Laurens County,800,20.8279093985941%,4,0,19687,2208,28.0000001192093%,3841
177,Lee County,176,7.57967269595177%,0,0,8813,405,12.9999995231628%,2322
179,Liberty County,481,5.86370839936609%,2,1,21977,622,18.9999997615814%,8203
181,Lincoln County,98,17.7858439201452%,0,0,4514,552,15.9999996423721%,551
183,Long County,155,11.7602427921093%,0,0,4232,308,27.0000010728836%,1318
185,Lowndes County,705,8.80699562773267%,5,1,36551,3263,25.9999990463257%,8005
187,Lumpkin County,106,6.07101947308133%,0,0,8263,625,11.9999997317791%,1746
189,McDuffie County,227,11.8848167539267%,1,0,8916,1109,25.9999990463257%,1910
191,McIntosh County,75,7.97872340425532%,0,0,5735,443,23.9999994635582%,940
193,Macon County,152,12.5516102394715%,1,0,5495,919,41.9999986886978%,1211
195,Madison County,122,5.72501173158142%,0,0,10520,1237,15.9999996423721%,2131
197,Marion County,24,4.03361344537815%,0,0,3130,249,44.9999988079071%,595
199,Meriwether County,137,7.60266370699223%,0,0,9211,1981,27.0000010728836%,1802
201,Miller County,32,6.32411067193676%,0,0,2770,502,40.9999996423721%,506
205,Mitchell County,267,12.7385496183206%,1,0,8880,1395,40.0000005960465%,2096
207,Monroe County,77,4.46635730858469%,0,0,8425,927,15.9999996423721%,1724
209,Montgomery County,76,11.377245508982%,0,0,3492,585,21.9999998807907%,668
211,Morgan County,55,4.3171114599686%,0,0,6128,1102,18.0000007152557%,1274
213,Murray County,393,10.8985024958403%,0,0,14320,998,20.0000002980232%,3606
215,Muscogee County,638,3.70628558150343%,0,0,76182,11631,25%,17214
217,Newton County,917,14.3640350877193%,1,1,23033,1998,14.0000000596046%,6384
219,Oconee County,72,3.26827054017249%,1,0,9528,707,10.0000001490116%,2203
221,Oglethorpe County,49,4.62700661000944%,0,0,5368,826,15.9999996423721%,1059
223,Paulding County,489,5.0563540481853%,0,0,29274,1456,5.00000007450581%,9671
225,Peach County,246,12.9473684210526%,0,0,9093,979,33.0000013113022%,1900
