"CBLS County-level Summary Data for GA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Appling County,189,11.9000002741814%,0,0%,0,7854,1012,28.999999165535%,1594
003,Atkinson County,128,13.6999994516373%,0,0%,0,3171,370,28.999999165535%,934
005,Bacon County,211,22.2000002861023%,0,0%,0,4464,546,44.9999988079071%,951
007,Baker County,,,,#DIV/0!,,1740,198,31.0000002384186%,197
009,Baldwin County,241,7.29999989271164%,0,0%,1,17173,1889,25%,3280
011,Banks County,112,8.10000002384186%,1,0.892857142857143%,0,5808,708,11.9999997317791%,1379
013,Barrow County,509,7.10000023245811%,0,0%,0,17304,1453,5.99999986588955%,7206
015,Bartow County,486,5.20000010728836%,3,0.617283950617284%,1,28751,2706,10.9999999403954%,9340
017,Ben Hill County,37,2.09999997168779%,0,0%,0,7623,1308,40.9999996423721%,1792
019,Berrien County,115,7.59999975562096%,1,0.869565217391304%,0,7100,951,28.0000001192093%,1509
021,Bibb County,821,5.60000017285347%,3,0.365408038976857%,5,67194,11847,31.9999992847443%,14641
023,Bleckley County,70,7.69999995827675%,0,0%,0,4866,699,25%,904
025,Brantley County,103,10.0000001490116%,1,0.970873786407767%,0,6490,525,20.0000002980232%,1031
027,Brooks County,154,12.3000003397465%,1,0.649350649350649%,0,7118,1112,36.0000014305115%,1250
029,Bryan County,209,7.10000023245811%,0,0%,0,8675,698,15.9999996423721%,2956
031,Bulloch County,169,3.29999998211861%,0,0%,1,22742,1957,23.9999994635582%,5058
033,Burke County,30,1.30000002682209%,0,0%,0,8842,1001,50%,2342
035,Butts County,155,7.90000036358833%,0,0%,0,7380,956,14.0000000596046%,1951
037,Calhoun County,53,10.700000077486%,0,0%,0,2305,402,43.9999997615814%,496
039,Camden County,127,2.70000007003546%,0,0%,0,16958,854,10.9999999403954%,4683
043,Candler County,70,6.3000001013279%,0,0%,0,3893,633,37.9999995231628%,1104
045,Carroll County,696,6.70000016689301%,0,0%,1,34067,3803,15.9999996423721%,10363
047,Catoosa County,291,5.90000003576279%,0,0%,0,21794,1696,15.0000005960464%,4901
049,Charlton County,72,9.89999994635582%,0,0%,0,3859,281,34.0000003576279%,730
051,Chatham County,2621,11.599999666214%,11,0.419687142312095%,4,99683,19434,23.9999994635582%,22691
053,Chattahoochee County,6,0.499999988824129%,0,0%,0,3316,495,14.0000000596046%,1160
055,Chattooga County,132,6.89999982714653%,1,0.757575757575758%,0,10677,2403,20.0000002980232%,1910
057,Cherokee County,865,4.10000011324883%,0,0%,1,51937,2062,5.99999986588955%,20984
059,Clarke County,441,5.00000007450581%,1,0.226757369614512%,1,42126,4718,27.0000010728836%,8893
061,Clay County,39,13.400000333786%,2,5.12820512820513%,0,1925,358,56.0000002384186%,291
063,Clayton County,2095,7.50000029802322%,5,0.238663484486873%,4,86461,2196,14.0000000596046%,27973
065,Clinch County,91,13.6999994516373%,1,1.0989010989011%,0,2837,425,36.0000014305115%,663
067,Cobb County,3783,5.90000003576279%,6,0.158604282315623%,2,237522,7270,7.99999982118607%,64352
069,Coffee County,214,5.70000000298023%,0,0%,0,15610,1658,23.9999994635582%,3765
071,Colquitt County,667,15.6000003218651%,0,0%,2,17554,2753,27.0000010728836%,4275
073,Columbia County,325,3.4000001847744%,2,0.615384615384615%,3,33321,641,7.00000002980232%,9475
075,Cook County,170,11.4000000059605%,1,0.588235294117647%,0,6558,1091,27.0000010728836%,1493
077,Coweta County,626,5.49999997019768%,1,0.159744408945687%,0,33182,3402,9.00000035762787%,11290
079,Crawford County,82,9.00000035762787%,0,0%,1,4872,472,20.0000002980232%,910
081,Crisp County,139,6.89999982714653%,0,0%,0,9559,1445,43.0000007152557%,2006
083,Dade County,106,9.89999994635582%,0,0%,0,6224,700,5.99999986588955%,1073
085,Dawson County,156,8.39999988675118%,0,0%,0,7163,347,7.00000002980232%,1852
087,Decatur County,314,12.8999993205071%,1,0.318471337579618%,1,11968,1509,34.9999994039536%,2428
089,De Kalb County,3659,5.70000000298023%,11,0.300628587045641%,1,261231,23724,14.0000000596046%,64417
091,Dodge County,223,14.300000667572%,2,0.896860986547085%,0,8186,1042,23.0000004172325%,1564
093,Dooly County,109,10.8999997377396%,1,0.91743119266055%,0,4499,834,31.9999992847443%,997
095,Dougherty County,1133,12.5%,5,0.441306266548985%,0,39656,3835,37.0000004768372%,9033
097,Douglas County,823,6.8000003695488%,1,0.121506682867558%,0,34825,1409,10.0000001490116%,12133
099,Early County,150,14.2000004649162%,1,0.666666666666667%,0,5338,806,40.0000005960465%,1055
101,Echols County,5,1.40000004321337%,0,0%,0,1482,156,43.0000007152557%,358
103,Effingham County,474,10.3000000119209%,0,0%,0,14169,1042,10.9999999403954%,4623
105,Elbert County,185,11.8000000715256%,1,0.540540540540541%,0,9136,2043,23.0000004172325%,1562
107,Emanuel County,332,15.2999997138977%,2,0.602409638554217%,0,9419,1606,40.9999996423721%,2168
109,Evans County,177,15.0000005960464%,0,0%,0,4381,637,37.0000004768372%,1178
111,Fannin County,213,12.8999993205071%,1,0.469483568075117%,0,11134,1347,15.0000005960464%,1648
113,Fayette County,259,3.90000008046627%,0,0%,0,32726,534,1.99999995529652%,6562
115,Floyd County,383,4.6000000089407%,0,0%,2,36615,7156,21.9999998807907%,8374
117,Forsyth County,530,3.20000015199184%,2,0.377358490566038%,0,36505,855,5.00000007450581%,16624
119,Franklin County,189,10.8999997377396%,0,0%,0,9303,1386,15.0000005960464%,1735
121,Fulton County,7171,8.39999988675118%,13,0.181285734207224%,7,348632,53205,23.9999994635582%,85462
123,Gilmer County,160,6.49999976158142%,0,0%,0,11924,768,15.0000005960464%,2474
125,Glascock County,9,3.70000004768372%,0,0%,0,1192,244,10.0000001490116%,243
127,Glynn County,723,10.9999999403954%,0,0%,0,32636,3943,23.9999994635582%,6569
