"CBLS County-level Summary Data for GA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
129,Gordon County,510,9.89999994635582%,1,0.196078431372549%,1,17145,1654,11.9999997317791%,5170
131,Grady County,337,13.8999998569489%,0,0%,0,9991,1439,28.999999165535%,2425
133,Greene County,65,5.49999997019768%,0,0%,0,6653,1057,40.9999996423721%,1189
135,Gwinnett County,5820,7.10000023245811%,11,0.189003436426117%,1,209682,2917,5.99999986588955%,81521
137,Habersham County,377,10.1999998092651%,0,0%,0,14634,1920,15.0000005960464%,3713
139,Hall County,1591,8.20000022649765%,8,0.502828409805154%,5,51046,3916,15.9999996423721%,19320
141,Hancock County,98,15.0000005960464%,1,1.02040816326531%,0,4287,797,55.0000011920929%,653
143,Haralson County,137,5.70000000298023%,1,0.72992700729927%,0,10719,1390,18.9999997615814%,2385
145,Harris County,85,3.90000008046627%,0,0%,0,10288,1047,7.00000002980232%,2193
147,Hart County,174,9.79999974370003%,0,0%,0,11111,1139,15.9999996423721%,1782
149,Heard County,90,10.1999998092651%,0,0%,0,4512,606,18.9999997615814%,886
151,Henry County,969,5.09999990463257%,2,0.206398348813209%,1,43166,1413,5.00000007450581%,18923
153,Houston County,747,6.3000001013279%,0,0%,0,44509,1909,14.0000000596046%,11891
155,Irwin County,272,36.7000013589859%,5,1.83823529411765%,0,4149,683,21.9999998807907%,741
157,Jackson County,389,6.70000016689301%,0,0%,0,16226,2175,11.9999997317791%,5836
159,Jasper County,120,10.0000001490116%,1,0.833333333333333%,1,4806,801,15.9999996423721%,1201
161,Jeff Davis County,234,17.2000005841255%,0,0%,0,5581,545,21.9999998807907%,1362
163,Jefferson County,84,5.60000017285347%,0,0%,0,7221,1077,31.0000002384186%,1492
165,Jenkins County,65,8.79999995231628%,0,0%,0,3907,642,47.9999989271164%,741
167,Johnson County,86,12.8000006079674%,2,2.32558139534884%,0,3634,663,30.0000011920929%,671
169,Jones County,81,3.79999987781048%,0,0%,0,9272,713,11.9999997317791%,2105
171,Lamar County,119,8.90000015497208%,1,0.840336134453782%,0,6145,1073,17.0000001788139%,1331
173,Lanier County,37,5.09999990463257%,0,0%,0,3011,303,31.9999992847443%,719
175,Laurens County,532,12.7000004053116%,1,0.18796992481203%,0,19687,2208,28.0000001192093%,4201
177,Lee County,150,6.10000006854534%,0,0%,0,8813,405,12.9999995231628%,2466
179,Liberty County,367,4.69999983906746%,1,0.272479564032697%,0,21977,622,18.9999997615814%,7737
181,Lincoln County,52,10.4999996721745%,0,0%,0,4514,552,15.9999996423721%,496
183,Long County,116,11.2999998033047%,0,0%,0,4232,308,27.0000010728836%,1031
185,Lowndes County,401,4.19999994337559%,2,0.498753117206983%,1,36551,3263,25.9999990463257%,9583
187,Lumpkin County,133,6.49999976158142%,0,0%,0,8263,625,11.9999997317791%,2062
189,McDuffie County,105,5.29999993741512%,0,0%,0,8916,1109,25.9999990463257%,1986
191,McIntosh County,90,10.1999998092651%,0,0%,0,5735,443,23.9999994635582%,883
193,Macon County,69,6.49999976158142%,0,0%,0,5495,919,41.9999986886978%,1064
195,Madison County,126,5.79999983310699%,0,0%,0,10520,1237,15.9999996423721%,2191
197,Marion County,27,4.50000017881393%,0,0%,0,3130,249,44.9999988079071%,601
199,Meriwether County,229,12.2000001370907%,1,0.436681222707424%,0,9211,1981,27.0000010728836%,1880
201,Miller County,63,12.7000004053116%,0,0%,0,2770,502,40.9999996423721%,498
205,Mitchell County,317,15.3999999165535%,1,0.315457413249211%,0,8880,1395,40.0000005960465%,2062
207,Monroe County,93,5.20000010728836%,0,0%,0,8425,927,15.9999996423721%,1791
209,Montgomery County,52,7.19999969005585%,0,0%,0,3492,585,21.9999998807907%,721
211,Morgan County,67,4.6000000089407%,0,0%,0,6128,1102,18.0000007152557%,1453
213,Murray County,364,9.30000022053719%,1,0.274725274725275%,0,14320,998,20.0000002980232%,3902
215,Muscogee County,564,3.20000015199184%,0,0%,0,76182,11631,25%,17724
217,Newton County,775,7.59999975562096%,3,0.387096774193548%,0,23033,1998,14.0000000596046%,10164
219,Oconee County,94,3.79999987781048%,0,0%,0,9528,707,10.0000001490116%,2487
221,Oglethorpe County,53,4.80000004172325%,0,0%,0,5368,826,15.9999996423721%,1097
223,Paulding County,497,3.70000004768372%,1,0.201207243460765%,0,29274,1456,5.00000007450581%,13600
225,Peach County,252,11.5000002086163%,1,0.396825396825397%,0,9093,979,33.0000013113022%,2197
227,Pickens County,170,7.19999969005585%,0,0%,0,10687,890,15.9999996423721%,2345
229,Pierce County,151,9.0999998152256%,1,0.662251655629139%,0,6719,817,28.0000001192093%,1665
231,Pike County,123,8.90000015497208%,0,0%,0,5068,821,10.9999999403954%,1375
233,Polk County,289,7.00000002980232%,0,0%,0,15059,3401,17.0000001788139%,4157
235,Pulaski County,111,15.0000005960464%,0,0%,0,3944,568,18.0000007152557%,739
237,Putnam County,122,7.69999995827675%,0,0%,0,10319,726,23.0000004172325%,1581
239,Quitman County,22,10.1999998092651%,1,4.54545454545455%,0,1773,142,25.9999990463257%,215
241,Rabun County,86,7.19999969005585%,1,1.16279069767442%,0,10210,1089,11.9999997317791%,1196
243,Randolph County,41,6.89999982714653%,1,2.4390243902439%,0,3402,862,37.0000004768372%,592
245,Richmond County,892,4.89999987185001%,1,0.112107623318386%,3,82312,11553,28.999999165535%,18183
247,Rockdale County,576,7.99999982118607%,2,0.347222222222222%,2,25082,1068,9.00000035762787%,7196
249,Schley County,13,3.29999998211861%,0,0%,0,1612,218,27.0000010728836%,391
251,Screven County,140,12.2000001370907%,0,0%,0,6853,989,18.9999997615814%,1144
253,Seminole County,100,13.7999996542931%,0,0%,0,4742,564,37.0000004768372%,725
255,Spalding County,354,5.99999986588955%,1,0.282485875706215%,0,23001,3391,23.0000004172325%,5871
257,Stephens County,360,18.0000007152557%,0,0%,0,11652,1367,21.9999998807907%,1997
259,Stewart County,12,3.90000008046627%,0,0%,0,2354,527,31.9999992847443%,304
261,Sumter County,146,5.00000007450581%,0,0%,1,13700,2193,37.9999995231628%,2894
263,Talbot County,25,5.40000014007092%,1,4%,0,2871,432,40.0000005960465%,467
265,Taliaferro County,15,12.3000003397465%,1,6.66666666666667%,0,1085,340,18.9999997615814%,122
267,Tattnall County,176,8.69999974966049%,0,0%,1,8578,1136,31.9999992847443%,2013
269,Taylor County,52,7.59999975562096%,0,0%,0,3978,581,34.0000003576279%,680
271,Telfair County,141,14.9000003933907%,3,2.12765957446808%,1,5083,787,31.0000002384186%,949
273,Terrell County,131,14.6999999880791%,4,3.05343511450382%,0,4460,1027,43.9999997615814%,890
275,Thomas County,746,19.4000005722046%,4,0.536193029490617%,5,18285,3137,23.9999994635582%,3841
277,Tift County,507,12.6000002026558%,1,0.19723865877712%,1,15411,1968,31.0000002384186%,4014
279,Toombs County,326,11.9000002741814%,0,0%,1,11371,1258,40.0000005960465%,2731
281,Towns County,37,5.99999986588955%,0,0%,0,6282,380,10.9999999403954%,612
283,Treutlen County,64,11.9000002741814%,0,0%,0,2865,440,40.9999996423721%,540
285,Troup County,908,15.5000001192093%,1,0.110132158590308%,2,23824,4873,23.0000004172325%,5845
287,Turner County,115,13.7999996542931%,1,0.869565217391304%,0,3916,676,40.9999996423721%,835
289,Twiggs County,63,8.60000029206276%,1,1.58730158730159%,0,4291,517,25.9999990463257%,734
291,Union County,132,10.3000000119209%,0,0%,0,10001,572,14.0000000596046%,1276
293,Upson County,256,12.3000003397465%,1,0.390625%,0,11616,2598,20.0000002980232%,2078
295,Walker County,542,11.2000003457069%,2,0.3690036900369%,0,25577,4874,18.9999997615814%,4835
297,Walton County,272,3.50000001490116%,1,0.367647058823529%,0,22500,2229,14.0000000596046%,7714
299,Ware County,280,9.20000001788139%,2,0.714285714285714%,1,15831,2899,30.0000011920929%,3037
301,Warren County,33,7.00000002980232%,0,0%,0,2767,516,31.0000002384186%,472
303,Washington County,109,6.89999982714653%,2,1.8348623853211%,0,8327,1433,33.0000013113022%,1581
305,Wayne County,323,12.6000002026558%,0,0%,0,10827,1265,21.9999998807907%,2559
307,Webster County,14,8.60000029206276%,0,0%,0,1115,248,28.0000001192093%,162
309,Wheeler County,63,13.400000333786%,0,0%,0,2447,415,34.0000003576279%,471
311,White County,116,5.99999986588955%,0,0%,0,9454,617,15.0000005960464%,1946
313,Whitfield County,1279,11.9999997317791%,2,0.156372165754496%,2,30722,2849,12.9999995231628%,10692
315,Wilcox County,100,17.2000005841255%,0,0%,0,3320,674,31.0000002384186%,580
317,Wilkes County,90,12.0999999344349%,1,1.11111111111111%,0,5022,978,21.9999998807907%,744
319,Wilkinson County,66,7.19999969005585%,1,1.51515151515152%,0,4449,602,27.0000010728836%,912
321,Worth County,111,7.10000023245811%,0,0%,0,9086,1067,21.9999998807907%,1572
999,Unknown,569,,0,0%,3,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Georgia 2007 Confirmed Cases,,164,,,,,,,
