"CBLS County-level Summary Data for GA, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
133,Greene County,88,7.59999975562096%,1,1.13636363636364%,0,6653,1057,40.9999996423721%,1153
135,Gwinnett County,6358,7.69999995827675%,8,0.125825731362064%,1,209682,2917,5.99999986588955%,82442
137,Habersham County,515,13.400000333786%,0,0%,0,14634,1920,15.0000005960464%,3854
139,Hall County,2186,11.2000003457069%,8,0.365965233302836%,5,51046,3916,15.9999996423721%,19581
141,Hancock County,132,20.7000002264976%,0,0%,0,4287,797,55.0000011920929%,638
143,Haralson County,131,5.40000014007092%,0,0%,0,10719,1390,18.9999997615814%,2411
145,Harris County,63,2.8999999165535%,0,0%,0,10288,1047,7.00000002980232%,2191
147,Hart County,271,15.7000005245209%,0,0%,0,11111,1139,15.9999996423721%,1727
149,Heard County,85,9.7000002861023%,0,0%,0,4512,606,18.9999997615814%,878
151,Henry County,834,4.39999997615814%,3,0.359712230215827%,1,43166,1413,5.00000007450581%,18902
153,Houston County,1010,8.39999988675118%,2,0.198019801980198%,0,44509,1909,14.0000000596046%,12025
155,Irwin County,135,19.0999999642372%,0,0%,0,4149,683,21.9999998807907%,705
157,Jackson County,389,6.3000001013279%,0,0%,0,16226,2175,11.9999997317791%,6164
159,Jasper County,145,12.3000003397465%,1,0.689655172413793%,0,4806,801,15.9999996423721%,1177
161,Jeff Davis County,212,14.9000003933907%,1,0.471698113207547%,0,5581,545,21.9999998807907%,1423
163,Jefferson County,57,3.90000008046627%,1,1.75438596491228%,0,7221,1077,31.0000002384186%,1461
165,Jenkins County,67,9.20000001788139%,0,0%,0,3907,642,47.9999989271164%,730
167,Johnson County,87,12.8999993205071%,0,0%,0,3634,663,30.0000011920929%,675
169,Jones County,190,9.49999988079071%,0,0%,0,9272,713,11.9999997317791%,1996
171,Lamar County,78,5.79999983310699%,1,1.28205128205128%,0,6145,1073,17.0000001788139%,1350
173,Lanier County,57,7.69999995827675%,0,0%,0,3011,303,31.9999992847443%,744
175,Laurens County,591,14.0000000596046%,5,0.846023688663283%,0,19687,2208,28.0000001192093%,4216
177,Lee County,159,6.49999976158142%,0,0%,0,8813,405,12.9999995231628%,2437
179,Liberty County,644,8.79999995231628%,0,0%,0,21977,622,18.9999997615814%,7282
181,Lincoln County,29,5.90000003576279%,0,0%,0,4514,552,15.9999996423721%,493
183,Long County,100,9.79999974370003%,0,0%,0,4232,308,27.0000010728836%,1021
185,Lowndes County,451,4.50000017881393%,0,0%,1,36551,3263,25.9999990463257%,10090
187,Lumpkin County,246,11.8000000715256%,0,0%,0,8263,625,11.9999997317791%,2077
