"CBLS County-level Summary Data for GA, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
171,Lamar County,112,3,0,0%,0,6145,1073,17.0000001788139%
173,Lanier County,47,5,0,0%,0,3011,303,31.9999992847443%
175,Laurens County,709,37,7,0.999999977648258%,4,19687,2208,28.0000001192093%
177,Lee County,57,1,0,0%,0,8813,405,12.9999995231628%
179,Liberty County,593,60,1,0.20000000949949%,0,21977,622,18.9999997615814%
181,Lincoln County,8,2,0,0%,0,4514,552,15.9999996423721%
183,Long County,146,15,0,0%,0,4232,308,27.0000010728836%
185,Lowndes County,658,16,0,0%,0,36551,3263,25.9999990463257%
187,Lumpkin County,155,5,0,0%,0,8263,625,11.9999997317791%
189,McDuffie County,74,10,0,0%,0,8916,1109,25.9999990463257%
191,McIntosh County,40,3,0,0%,0,5735,443,23.9999994635582%
193,Macon County,57,4,0,0%,0,5495,919,41.9999986886978%
195,Madison County,228,11,0,0%,1,10520,1237,15.9999996423721%
197,Marion County,12,1,1,8.29999968409538%,1,3130,249,44.9999988079071%
199,Meriwether Coun,171,10,1,0.600000005215406%,0,9211,1981,27.0000010728836%
201,Miller County,41,.,1,2.40000002086163%,0,2770,502,40.9999996423721%
205,Mitchell County,430,12,5,1.20000001043081%,0,8880,1395,40.0000005960465%
207,Monroe County,117,1,0,0%,0,8425,927,15.9999996423721%
209,Montgomery Coun,37,3,0,0%,0,3492,585,21.9999998807907%
211,Morgan County,82,5,1,1.20000001043081%,0,6128,1102,18.0000007152557%
213,Murray County,182,5,0,0%,0,14320,998,20.0000002980232%
215,Muscogee County,1288,47,3,0.20000000949949%,0,76182,11631,25%
217,Newton County,709,23,0,0%,0,23033,1998,14.0000000596046%
219,Oconee County,132,2,0,0%,0,9528,707,10.0000001490116%
221,Oglethorpe Coun,54,4,0,0%,0,5368,826,15.9999996423721%
223,Paulding County,306,7,0,0%,0,29274,1456,5.00000007450581%
225,Peach County,296,15,0,0%,0,9093,979,33.0000013113022%
