"CBLS County-level Summary Data for IN, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
125,Pike County,23,2.5000000372529%,1,4.34782608695652%,1,5611,1758,10.9999999403954%,924
127,Porter County,586,5.09999990463257%,0,0%,1,57616,7786,7.99999982118607%,11416
129,Posey County,124,7.29999989271164%,1,0.806451612903226%,1,11076,3069,10.9999999403954%,1698
131,Pulaski County,63,6.40000030398369%,0,0%,0,5918,2237,11.9999997317791%,989
133,Putnam County,281,11.5000002086163%,1,0.355871886120996%,0,13505,3695,10.0000001490116%,2438
135,Randolph County,152,7.90000036358833%,1,0.657894736842105%,1,11775,6127,18.9999997615814%,1932
137,Ripley County,196,8.50000008940697%,0,0%,0,10482,3434,7.99999982118607%,2303
139,Rush County,86,6.49999976158142%,4,4.65116279069768%,3,7337,3925,5.99999986588955%,1324
141,St. Joseph County,2557,11.2999998033047%,37,1.44700821274932%,19,107013,36261,17.0000001788139%,22529
143,Scott County,115,6.3000001013279%,1,0.869565217391304%,1,9737,2110,17.0000001788139%,1819
145,Shelby County,44,1.30000002682209%,1,2.27272727272727%,0,17633,6262,12.9999995231628%,3447
147,Spencer County,167,11.8000000715256%,0,0%,0,8333,2101,9.00000035762787%,1416
149,Starke County,109,6.10000006854534%,1,0.91743119266055%,0,10201,3155,18.0000007152557%,1788
151,Steuben County,173,6.89999982714653%,1,0.578034682080925%,0,17337,4676,9.00000035762787%,2496
153,Sullivan County,71,5.00000007450581%,0,0%,0,8804,3706,18.0000007152557%,1412
155,Switzerland County,44,6.49999976158142%,1,2.27272727272727%,1,4226,1238,20.0000002980232%,678
157,Tippecanoe County,1215,10.3000000119209%,4,0.329218106995885%,2,58343,12421,18.9999997615814%,11818
159,Tipton County,51,4.19999994337559%,1,1.96078431372549%,0,6848,2848,5.99999986588955%,1226
