"CBLS County-level Summary Data for IN, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
109,Morgan County,497,9.30000022053719%,0,0%,0,25908,5519,7.99999982118607%,5337
111,Newton County,61,7.10000023245811%,0,0%,0,5726,2058,7.00000002980232%,861
113,Noble County,192,4.6000000089407%,1,0.520833333333333%,0,18233,6282,11.9999997317791%,4140
115,Ohio County,14,3.59999984502792%,0,0%,0,2424,840,11.9999997317791%,389
117,Orange County,168,11.2999998033047%,0,0%,1,8348,2183,10.0000001490116%,1484
119,Owen County,287,19.4000005722046%,1,0.348432055749129%,0,9853,2172,10.0000001490116%,1479
121,Parke County,59,5.40000014007092%,0,0%,0,7539,2638,21.9999998807907%,1088
123,Perry County,121,9.20000001788139%,1,0.826446280991735%,0,8223,2434,20.0000002980232%,1309
125,Pike County,33,3.59999984502792%,1,3.03030303030303%,1,5611,1758,10.9999999403954%,918
127,Porter County,674,5.70000000298023%,2,0.29673590504451%,1,57616,7786,7.99999982118607%,11903
129,Posey County,139,8.79999995231628%,0,0%,0,11076,3069,10.9999999403954%,1578
131,Pulaski County,65,6.49999976158142%,0,0%,0,5918,2237,11.9999997317791%,996
133,Putnam County,355,14.300000667572%,2,0.563380281690141%,0,13505,3695,10.0000001490116%,2487
135,Randolph County,166,9.00000035762787%,1,0.602409638554217%,1,11775,6127,18.9999997615814%,1854
137,Ripley County,185,7.99999982118607%,1,0.540540540540541%,0,10482,3434,7.99999982118607%,2320
139,Rush County,146,11.5000002086163%,4,2.73972602739726%,2,7337,3925,5.99999986588955%,1266
141,St. Joseph County,2517,11.1000001430511%,44,1.74811283273739%,19,107013,36261,17.0000001788139%,22634
143,Scott County,199,10.8999997377396%,2,1.00502512562814%,0,9737,2110,17.0000001788139%,1818
