"CBLS County-level Summary Data for IN, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
159,Tipton County,45,4,0,0%,0,6848,2848,5.99999986588955%
161,Union County,102,2,1,0.999999977648258%,0,3077,1202,14.0000000596046%
163,Vanderburgh Cou,1185,39,17,1.40000004321337%,6,76300,26808,20.0000002980232%
165,Vermillion Coun,101,4,2,1.99999995529652%,1,7405,3850,11.9999997317791%
167,Vigo County,797,37,10,1.30000002682209%,1,45203,18676,20.0000002980232%
169,Wabash County,229,10,1,0.400000018998981%,0,14034,6208,12.9999995231628%
171,Warren County,50,7,0,0%,0,3477,1465,15.0000005960464%
173,Warrick County,257,4,0,0%,0,20546,3246,7.99999982118607%
175,Washington Coun,135,6,1,0.700000021606684%,0,11191,2822,15.9999996423721%
177,Wayne County,1135,109,18,1.60000007599592%,9,30468,13299,18.9999997615814%
179,Wells County,138,1,0,0%,1,10970,4211,10.9999999403954%
181,White County,205,14,1,0.499999988824129%,1,12083,3643,7.99999982118607%
183,Whitley County,101,2,1,0.999999977648258%,0,12545,4477,5.99999986588955%
*# of Addresses where address state not in selected state: 120,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 120,# of Addresses where program state is not in selected state: 1,,,,,,,,
*# of Addresses where address state not in selected state: 120,# of Addresses where program state is not in selected state: 1,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2009-2013",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
