"CBLS County-level Summary Data for IN, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Adams County,158,5,1,0.600000005215406%,0,12404,4573,15.0000005960464%
003,Allen County,2359,126,32,1.40000004321337%,30,138905,33357,15.0000005960464%
005,Bartholomew Cou,758,17,0,0%,0,29853,6657,10.0000001490116%
007,Benton County,49,3,0,0%,0,3818,2000,7.99999982118607%
009,Blackford Count,150,11,1,0.700000021606684%,0,6155,2803,14.0000000596046%
011,Boone County,209,5,2,0.999999977648258%,1,17929,5399,5.00000007450581%
013,Brown County,110,5,0,0%,0,7163,850,9.00000035762787%
015,Carroll County,150,19,0,0%,1,8675,3856,9.00000035762787%
017,Cass County,336,21,7,2.09999997168779%,2,16620,7995,11.9999997317791%
019,Clark County,258,3,4,1.60000007599592%,1,41176,7638,12.9999995231628%
021,Clay County,181,8,1,0.600000005215406%,0,11097,4418,18.0000007152557%
023,Clinton County,259,16,4,1.49999996647239%,2,13267,6425,14.0000000596046%
025,Crawford County,128,7,1,0.800000037997961%,0,5138,1187,34.0000003576279%
027,Daviess County,111,3,2,1.79999992251396%,0,11898,4257,23.9999994635582%
029,Dearborn County,157,8,2,1.30000002682209%,0,17791,4278,10.0000001490116%
031,Decatur County,189,5,0,0%,0,9992,3445,14.0000000596046%
033,De Kalb County,347,10,3,0.899999961256981%,1,16144,6431,7.99999982118607%
035,Delaware County,670,33,6,0.899999961256981%,2,51032,16269,20.0000002980232%
037,Dubois County,78,2,0,0%,0,15511,4150,5.00000007450581%
039,Elkhart County,n,n,n,n,n,69791,18341,12.9999995231628%
041,Fayette County,248,13,2,0.800000037997961%,0,10981,4382,7.99999982118607%
043,Floyd County,380,13,1,0.300000002607703%,0,29087,7209,18.0000007152557%
045,Fountain County,71,4,1,1.40000004321337%,1,7692,3297,12.9999995231628%
047,Franklin County,198,8,1,0.499999988824129%,0,8596,2547,7.00000002980232%
049,Fulton County,94,10,0,0%,0,9123,3221,10.9999999403954%
051,Gibson County,199,15,0,0%,1,14125,4770,14.0000000596046%
053,Grant County,1348,46,2,0.100000004749745%,2,30560,10711,20.9999993443489%
055,Greene County,347,7,0,0%,0,15053,4788,17.0000001788139%
