"CBLS County-level Summary Data for IN, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
057,Hamilton County,1303,22,3,0.20000000949949%,0,69478,5883,2.99999993294477%
059,Hancock County,227,1,0,0%,0,21750,4347,2.99999993294477%
061,Harrison County,370,9,0,0%,0,13699,2856,7.99999982118607%
063,Hendricks Count,357,6,1,0.300000002607703%,1,39229,5218,1.99999995529652%
065,Henry County,324,24,2,0.600000005215406%,3,20592,8664,12.9999995231628%
067,Howard County,787,37,5,0.600000005215406%,0,37604,11348,18.9999997615814%
069,Huntington Coun,211,10,1,0.499999988824129%,0,15269,7213,5.99999986588955%
071,Jackson County,203,10,0,0%,0,17137,4323,10.9999999403954%
073,Jasper County,189,5,0,0%,1,11236,2959,7.99999982118607%
075,Jay County,192,6,0,0%,0,9074,4709,15.9999996423721%
077,Jefferson Count,283,8,2,0.700000021606684%,0,13386,3426,14.0000000596046%
079,Jennings County,314,18,1,0.300000002607703%,1,11469,2070,10.0000001490116%
081,Johnson County,580,28,0,0%,1,45095,5774,5.99999986588955%
083,Knox County,191,5,4,2.09999997168779%,0,17305,7709,25.9999990463257%
085,Kosciusko Count,531,20,1,0.20000000949949%,0,32188,8080,9.00000035762787%
087,Lagrange County,82,7,1,1.20000001043081%,0,12938,3743,10.0000001490116%
089,Lake County,3564,204,31,0.899999961256981%,13,194992,58498,20.9999993443489%
091,La Porte County,389,30,9,2.30000000447035%,2,45621,15893,15.9999996423721%
093,Lawrence County,621,16,2,0.300000002607703%,0,20560,6109,14.0000000596046%
095,Madison County,1145,78,6,0.499999988824129%,1,56939,20511,15.0000005960464%
097,Marion County,9276,440,76,0.800000037997961%,12,387183,95010,17.0000001788139%
099,Marshall County,391,29,2,0.499999988824129%,1,18099,6102,10.0000001490116%
101,Martin County,81,2,0,0%,0,4729,1175,18.0000007152557%
103,Miami County,275,10,1,0.400000018998981%,0,15299,6993,14.0000000596046%
105,Monroe County,2353,33,1,0%,1,50846,6469,15.9999996423721%
107,Montgomery Coun,199,7,0,0%,0,15678,5933,12.9999995231628%
109,Morgan County,423,17,1,0.20000000949949%,0,25908,5519,7.99999982118607%
111,Newton County,68,6,1,1.49999996647239%,0,5726,2058,7.00000002980232%
113,Noble County,219,7,1,0.499999988824129%,0,18233,6282,11.9999997317791%
115,Ohio County,11,1,0,0%,0,2424,840,11.9999997317791%
117,Orange County,198,11,1,0.499999988824129%,0,8348,2183,10.0000001490116%
119,Owen County,380,9,0,0%,0,9853,2172,10.0000001490116%
121,Parke County,47,3,0,0%,0,7539,2638,21.9999998807907%
123,Perry County,80,5,0,0%,0,8223,2434,20.0000002980232%
125,Pike County,38,.,1,2.60000005364418%,0,5611,1758,10.9999999403954%
127,Porter County,584,10,1,0.20000000949949%,2,57616,7786,7.99999982118607%
129,Posey County,138,6,1,0.700000021606684%,0,11076,3069,10.9999999403954%
131,Pulaski County,64,6,0,0%,0,5918,2237,11.9999997317791%
133,Putnam County,247,22,0,0%,1,13505,3695,10.0000001490116%
135,Randolph County,160,9,1,0.600000005215406%,0,11775,6127,18.9999997615814%
137,Ripley County,296,6,0,0%,0,10482,3434,7.99999982118607%
139,Rush County,102,7,0,0%,0,7337,3925,5.99999986588955%
141,St. Joseph Coun,2632,237,36,1.40000004321337%,17,107013,36261,17.0000001788139%
143,Scott County,123,.,0,0%,0,9737,2110,17.0000001788139%
145,Shelby County,120,2,1,0.800000037997961%,0,17633,6262,12.9999995231628%
147,Spencer County,224,21,1,0.400000018998981%,0,8333,2101,9.00000035762787%
149,Starke County,104,7,0,0%,0,10201,3155,18.0000007152557%
151,Steuben County,272,8,0,0%,0,17337,4676,9.00000035762787%
153,Sullivan County,88,1,0,0%,1,8804,3706,18.0000007152557%
155,Switzerland Cou,30,2,0,0%,0,4226,1238,20.0000002980232%
157,Tippecanoe Coun,1806,104,3,0.20000000949949%,2,58343,12421,18.9999997615814%
159,Tipton County,66,.,0,0%,0,6848,2848,5.99999986588955%
161,Union County,83,5,0,0%,0,3077,1202,14.0000000596046%
163,Vanderburgh Cou,1581,81,12,0.800000037997961%,9,76300,26808,20.0000002980232%
165,Vermillion Coun,78,3,0,0%,0,7405,3850,11.9999997317791%
167,Vigo County,831,48,12,1.40000004321337%,1,45203,18676,20.0000002980232%
169,Wabash County,275,12,0,0%,0,14034,6208,12.9999995231628%
171,Warren County,48,3,0,0%,0,3477,1465,15.0000005960464%
173,Warrick County,244,5,0,0%,0,20546,3246,7.99999982118607%
175,Washington Coun,165,4,1,0.600000005215406%,0,11191,2822,15.9999996423721%
177,Wayne County,970,164,22,2.30000000447035%,10,30468,13299,18.9999997615814%
179,Wells County,172,4,2,1.20000001043081%,0,10970,4211,10.9999999403954%
181,White County,169,9,0,0%,1,12083,3643,7.99999982118607%
183,Whitley County,114,.,1,0.899999961256981%,0,12545,4477,5.99999986588955%
141,Presque Isle Co,n,n,n,n,n,9910,2739,15.0000005960464%
003,Ashland County,n,n,n,n,n,8883,3781,17.0000001788139%
*# of Addresses where address state not in selected state: 12,# of Addresses where program state is not in selected state: 0,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
