"CBLS County-level Summary Data for MO, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
199,Scotland,115,28.2555282555283%,1,0.869565217391304%,16951,3657,28.0000001192093%,407
201,Scott,770,21.9435736677116%,1,0.12987012987013%,3862,785,37.0000004768372%,3509
203,Shannon,73,11.3354037267081%,,0%,3245,1426,28.999999165535%,644
205,Shelby,178,33.969465648855%,,0%,13221,2515,25.9999990463257%,524
207,Stoddard,463,21.2190650779102%,3,0.647948164146868%,16241,1403,20.0000002980232%,2182
209,Stone,314,17.0559478544269%,,0%,3364,1527,23.0000004172325%,1841
211,Sullivan,243,41.9689119170984%,1,0.411522633744856%,19688,1274,20.0000002980232%,579
213,Taney,477,12.3351435221102%,,0%,10764,2202,31.0000002384186%,3867
215,Texas,174,9.80281690140845%,1,0.574712643678161%,8872,2816,25%,1775
217,Vernon,298,17.2353961827646%,2,0.671140939597315%,11046,1284,12.9999995231628%,1729
219,Warren,359,12.9276197335254%,1,0.278551532033426%,9894,1363,27.0000010728836%,2777
221,Washington,365,18.1321410829608%,2,0.547945205479452%,7496,1212,33.0000013113022%,2013
223,Wayne,119,14.0164899882214%,,0%,12052,2346,20.9999993443489%,849
225,Webster,344,10.1415094339623%,,0%,1245,709,25%,3392
227,Worth,35,30.9734513274336%,1,2.85714285714286%,7957,2141,34.9999994039536%,113
229,Wright,167,10.4244694132335%,,0%,176354,113955,37.9999995231628%,1602
510,St. Louis (city),13934,46.7678055984426%,210,1.50710492320942%,176354,113955,38%,29794
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Missouri 2009 Confirmed Cases,,462,,,,,,
