"CBLS County-level Summary Data for KS, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
169,Saline,920,19.8832937108278%,8,0.869565217391304%,22695,7223,11.9999997317791%,4627
171,Scott,89,22.1393034825871%,,0%,2291,674,7.00000002980232%,402
173,Sedgwick,3619,7.58827476306299%,19,0.525006907985631%,191133,40089,14.0000000596046%,47692
175,Seward,400,13.0590923930787%,1,0.25%,8027,1338,28.999999165535%,3063
177,Shawnee,1677,10.9129953797098%,11,0.655933214072749%,73768,17366,15.9999996423721%,15367
179,Sheridan,25,12.6903553299492%,,0%,1263,611,30.0000011920929%,197
181,Sherman,79,17.2489082969432%,,0%,3184,1207,25%,458
183,Smith,69,33.6585365853659%,,0%,2326,1312,14.0000000596046%,205
185,Stafford,37,11.7460317460317%,1,2.7027027027027%,2458,1454,21.9999998807907%,315
187,Stanton,15,7.07547169811321%,,0%,1007,263,20.9999993443489%,212
189,Stevens,60,11.0091743119266%,,0%,2265,674,18.9999997615814%,545
191,Sumner,111,6.05234460196292%,1,0.900900900900901%,10877,4450,15.0000005960464%,1834
193,Thomas,88,15.742397137746%,,0%,3562,1065,10.0000001490116%,559
195,Trego,45,21.9512195121951%,,0%,1723,726,7.99999982118607%,205
197,Wabaunsee,40,7.2992700729927%,,0%,3033,1409,12.9999995231628%,548
199,Wallace,11,11.340206185567%,,0%,791,348,25.9999990463257%,97
201,Washington,70,17.4129353233831%,2,2.85714285714286%,3142,1940,12.9999995231628%,402
203,Wichita,63,31.5%,,0%,1119,383,28.0000001192093%,200
205,Wilson,103,13.6968085106383%,,0%,4937,2326,15.0000005960464%,752
207,Woodson,32,16.4102564102564%,,0%,2076,1050,21.9999998807907%,195
209,Wyandotte,3599,21.9705756669312%,23,0.639066407335371%,65892,20636,25.9999990463257%,16381
999,Unknown,n,,n,#VALUE!,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Kansas 2009 Confirmed Cases,,151,,,,,,
