"CBLS County-level Summary Data for IA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
169,Story,1895,32.8252208557076%,1,0.0527704485488127%,30630,7389,10.0000001490116%,5773
171,Tama,461,32.9285714285714%,,0%,7583,4164,18.0000007152557%,1400
173,Taylor,129,29.5194508009153%,1,0.775193798449612%,3199,1918,15.9999996423721%,437
175,Union,292,29.948717948718%,2,0.684931506849315%,5657,2946,17.0000001788139%,975
177,Van Buren,75,13.0434782608696%,1,1.33333333333333%,3581,1840,18.9999997615814%,575
179,Wapello,917,31.6206896551724%,4,0.436205016357688%,15873,7901,20.0000002980232%,2900
181,Warren,1151,33.0937320299022%,,0%,15289,3347,9.00000035762787%,3478
183,Washington,428,23.7777777777778%,5,1.16822429906542%,8543,4212,12.9999995231628%,1800
185,Wayne,93,18.6746987951807%,,0%,3357,1777,21.9999998807907%,498
187,Webster,943,32.78859527121%,4,0.424178154825027%,16969,8097,15.0000005960464%,2876
189,Winnebago,168,23.2044198895028%,1,0.595238095238095%,5065,2243,10.0000001490116%,724
191,Winneshiek,325,26.3371150729335%,2,0.615384615384615%,8208,4207,7.99999982118607%,1234
193,Woodbury,2671,27.221769262128%,18,0.673904904530138%,41394,18734,15.0000005960464%,9812
195,Worth,128,25.7545271629779%,1,0.78125%,3534,2043,7.00000002980232%,497
197,Wright,360,35.9281437125748%,,0%,6559,3274,5.99999986588955%,1002
999,Unknown,n,,n,#VALUE!,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Iowa 2009 Confirmed Cases,,323,,,,,,
