"CBLS County-level Summary Data for KY, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Adair County,58,.,0,0%,0,7792,1390,34.9999994039536%
003,Allen County,n,n,n,n,n,8057,1575,31.0000002384186%
005,Anderson County,6,1,0,0%,0,7752,1237,10.0000001490116%
007,Ballard County,59,1,0,0%,0,3837,716,20.9999993443489%
009,Barren County,29,1,0,0%,0,17095,3353,23.9999994635582%
011,Bath County,153,2,0,0%,0,4994,883,27.0000010728836%
013,Bell County,247,9,0,0%,0,13341,2673,43.0000007152557%
015,Boone County,184,6,4,2.19999998807907%,2,33351,2310,7.00000002980232%
017,Bourbon County,234,6,0,0%,0,8349,2671,23.9999994635582%
019,Boyd County,388,11,0,0%,0,21976,6419,25.9999990463257%
021,Boyle County,25,.,0,0%,0,11418,2369,18.9999997615814%
023,Bracken County,67,7,0,0%,0,3715,1442,12.9999995231628%
027,Breckinridge Co,5,.,0,0%,0,9890,1497,15.9999996423721%
029,Bullitt County,88,2,1,1.09999999403954%,0,23160,1251,10.0000001490116%
031,Butler County,46,.,0,0%,0,5815,959,20.0000002980232%
033,Caldwell County,n,n,n,n,n,6126,1436,18.0000007152557%
035,Calloway County,332,2,0,0%,0,16069,2235,20.9999993443489%
037,Campbell County,192,39,13,6.8000003695488%,8,36898,14709,14.0000000596046%
039,Carlisle County,68,2,0,0%,0,2490,661,23.0000004172325%
041,Carroll County,11,.,0,0%,0,4439,1212,18.9999997615814%
043,Carter County,203,9,0,0%,0,11534,1675,34.0000003576279%
045,Casey County,98,4,0,0%,0,7242,1534,33.0000013113022%
047,Christian Count,228,22,3,1.30000002682209%,1,27182,3947,18.9999997615814%
049,Clark County,64,4,0,0%,0,13749,2800,15.9999996423721%
051,Clay County,194,8,0,0%,0,9439,1024,47.9999989271164%
053,Clinton County,55,3,0,0%,0,4888,901,37.9999995231628%
055,Crittenden Coun,n,n,n,n,n,4410,996,31.0000002384186%
057,Cumberland Coun,58,2,0,0%,0,3567,780,31.0000002384186%
059,Daviess County,n,n,n,n,n,38432,6714,20.0000002980232%
061,Edmonson County,17,1,0,0%,0,6104,1033,23.9999994635582%
063,Elliott County,73,.,0,0%,0,3107,521,34.9999994039536%
065,Estill County,89,1,0,0%,0,6824,1547,37.0000004768372%
067,Fayette County,53,3,0,0%,0,116167,15717,15.9999996423721%
069,Fleming County,200,8,0,0%,0,6120,1709,25.9999990463257%
071,Floyd County,6,.,0,0%,0,18551,3134,40.0000005960465%
073,Franklin County,264,5,0,0%,0,21409,3821,14.0000000596046%
075,Fulton County,207,5,0,0%,0,3697,1179,34.0000003576279%
077,Gallatin County,8,.,0,0%,0,3362,521,18.9999997615814%
079,Garrard County,87,1,0,0%,0,6414,1330,20.9999993443489%
081,Grant County,86,2,1,1.20000001043081%,1,9306,1456,15.0000005960464%
083,Graves County,406,5,0,0%,0,16340,3318,25.9999990463257%
087,Green County,15,1,0,0%,0,5420,1261,28.999999165535%
089,Greenup County,21,1,0,0%,0,15977,2685,18.0000007152557%
091,Hancock County,n,n,n,n,n,3600,505,23.9999994635582%
093,Hardin County,17,.,0,0%,0,37673,4153,15.0000005960464%
095,Harlan County,164,4,0,0%,0,15017,4269,40.9999996423721%
097,Harrison County,164,10,0,0%,0,7660,2495,15.0000005960464%
099,Hart County,14,.,0,0%,0,8045,1812,28.0000001192093%
101,Henderson Count,12,.,0,0%,0,19466,4333,18.0000007152557%
103,Henry County,13,1,0,0%,0,6381,1574,18.9999997615814%
105,Hickman County,60,.,0,0%,0,2436,700,41.9999986886978%
107,Hopkins County,194,7,2,0.999999977648258%,0,20668,4422,27.0000010728836%
109,Jackson County,48,2,0,0%,0,6065,869,40.0000005960465%
111,Jefferson Count,427,25,15,3.50000001490116%,4,305835,75062,20.9999993443489%
113,Jessamine Count,306,6,0,0%,0,14646,1669,17.0000001788139%
115,Johnson County,212,3,0,0%,0,10236,2030,44.9999988079071%
117,Kenton County,163,29,18,10.9999999403954%,9,63571,20551,14.0000000596046%
121,Knox County,276,8,0,0%,0,13999,2065,43.0000007152557%
123,Larue County,38,.,0,0%,0,5860,1048,20.0000002980232%
125,Laurel County,34,.,0,0%,0,22317,1778,31.9999992847443%
127,Lawrence County,26,2,0,0%,0,7040,1176,44.9999988079071%
131,Leslie County,n,n,n,n,n,5502,624,38.9999985694885%
