"CBLS County-level Summary Data for KY, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,127,10.0000001490116%,1,0.78740157480315%,0,7792,1390,34.9999994039536%,1276
003,Allen County,43,2.99999993294477%,0,0%,0,8057,1575,31.0000002384186%,1453
005,Anderson County,41,2.60000005364418%,2,4.87804878048781%,0,7752,1237,10.0000001490116%,1607
007,Ballard County,112,20.7000002264976%,0,0%,0,3837,716,20.9999993443489%,542
009,Barren County,64,1.89999993890524%,0,0%,0,17095,3353,23.9999994635582%,3311
011,Bath County,171,18.299999833107%,0,0%,0,4994,883,27.0000010728836%,935
013,Bell County,574,26.3999998569489%,0,0%,0,13341,2673,43.0000007152557%,2175
015,Boone County,561,5.20000010728836%,0,0%,0,33351,2310,7.00000002980232%,10755
017,Bourbon County,263,18.0000007152557%,9,3.42205323193916%,3,8349,2671,23.9999994635582%,1463
019,Boyd County,591,16.7999997735024%,1,0.169204737732657%,0,21976,6419,25.9999990463257%,3511
021,Boyle County,19,0.999999977648258%,0,0%,0,11418,2369,18.9999997615814%,1926
023,Bracken County,124,18.0999994277954%,0,0%,0,3715,1442,12.9999995231628%,685
025,Breathitt County,9,0.800000037997961%,0,0%,0,6812,894,46.000000834465%,1080
027,Breckinridge County,32,2.19999998807907%,1,3.125%,0,9890,1497,15.9999996423721%,1437
029,Bullitt County,44,0.899999961256981%,0,0%,0,23160,1251,10.0000001490116%,5100
031,Butler County,23,2.30000000447035%,0,0%,0,5815,959,20.0000002980232%,979
033,Caldwell County,5,0.600000005215406%,1,20%,0,6126,1436,18.0000007152557%,869
035,Calloway County,415,18.7999993562698%,0,0%,1,16069,2235,20.9999993443489%,2206
037,Campbell County,695,10.3000000119209%,10,1.43884892086331%,0,36898,14709,14.0000000596046%,6748
039,Carlisle County,100,26.4999985694885%,0,0%,0,2490,661,23.0000004172325%,377
041,Carroll County,68,7.29999989271164%,3,4.41176470588235%,0,4439,1212,18.9999997615814%,937
043,Carter County,258,12.2000001370907%,0,0%,0,11534,1675,34.0000003576279%,2110
045,Casey County,101,8.60000029206276%,0,0%,0,7242,1534,33.0000013113022%,1168
047,Christian County,242,2.70000007003546%,3,1.2396694214876%,2,27182,3947,18.9999997615814%,9030
049,Clark County,122,4.50000017881393%,2,1.63934426229508%,0,13749,2800,15.9999996423721%,2714
051,Clay County,284,17.4999997019768%,1,0.352112676056338%,1,9439,1024,47.9999989271164%,1625
053,Clinton County,57,7.59999975562096%,0,0%,0,4888,901,37.9999995231628%,748
055,Crittenden County,n,,n,#VALUE!,n,4410,996,31.0000002384186%,639
057,Cumberland County,67,14.4999995827675%,0,0%,0,3567,780,31.0000002384186%,461
059,Daviess County,1122,14.0000000596046%,0,0%,0,38432,6714,20.0000002980232%,8006
061,Edmonson County,27,3.50000001490116%,0,0%,0,6104,1033,23.9999994635582%,767
063,Elliott County,57,11.8000000715256%,0,0%,0,3107,521,34.9999994039536%,483
065,Estill County,79,6.89999982714653%,0,0%,0,6824,1547,37.0000004768372%,1146
067,Fayette County,624,2.70000007003546%,6,0.961538461538462%,1,116167,15717,15.9999996423721%,23298
069,Fleming County,230,20.2999994158745%,0,0%,0,6120,1709,25.9999990463257%,1131
071,Floyd County,145,4.50000017881393%,0,0%,0,18551,3134,40.0000005960465%,3225
073,Franklin County,538,14.5999997854233%,0,0%,0,21409,3821,14.0000000596046%,3685
