"CBLS County-level Summary Data for KY, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
135,Lewis County,297,28.4000009298325%,0,0%,0,6173,1172,33.0000013113022%,1047
137,Lincoln County,42,2.09999997168779%,0,0%,0,10127,1784,28.999999165535%,2014
139,Livingston County,8,1.40000004321337%,0,0%,0,4772,780,9.00000035762787%,571
141,Logan County,79,3.70000004768372%,0,0%,1,11875,2581,23.9999994635582%,2138
143,Lyon County,n,,n,#VALUE!,n,4189,352,20.0000002980232%,358
145,McCracken County,852,17.8000003099442%,0,0%,0,30361,6029,23.0000004172325%,4790
147,McCreary County,185,13.400000333786%,0,0%,0,7405,816,40.9999996423721%,1384
149,McLean County,146,21.0999995470047%,0,0%,0,4392,910,25.9999990463257%,691
151,Madison County,619,10.0000001490116%,2,0.323101777059774%,1,29595,3614,20.9999993443489%,6165
153,Magoffin County,399,38.400000333786%,0,0%,0,5447,649,49.0000009536743%,1040
155,Marion County,138,8.69999974966049%,0,0%,1,7277,1768,23.9999994635582%,1580
157,Marshall County,28,1.40000004321337%,0,0%,0,14730,1523,14.0000000596046%,1941
159,Martin County,28,3.09999994933605%,0,0%,0,5551,504,51.9999980926514%,905
161,Mason County,131,10.8000002801418%,0,0%,0,7754,2873,28.999999165535%,1216
163,Meade County,46,2.70000007003546%,0,0%,0,10293,1064,18.0000007152557%,1721
165,Menifee County,198,44.6000009775162%,0,0%,0,3710,347,55.0000011920929%,444
167,Mercer County,80,4.89999987185001%,0,0%,0,9289,1989,18.0000007152557%,1623
169,Metcalfe County,53,6.70000016689301%,0,0%,0,4592,1042,31.9999992847443%,796
171,Monroe County,184,21.6999992728233%,0,0%,0,5288,989,34.0000003576279%,848
173,Montgomery County,467,21.8999996781349%,0,0%,0,9682,1452,18.9999997615814%,2129
175,Morgan County,272,30.1999986171722%,0,0%,0,5487,865,41.9999986886978%,901
177,Muhlenberg County,103,4.69999983906746%,0,0%,0,13675,2749,25.9999990463257%,2193
179,Nelson County,37,0.999999977648258%,0,0%,0,14934,2134,18.9999997615814%,3594
181,Nicholas County,63,11.5000002086163%,0,0%,0,3051,1111,12.9999995231628%,547
183,Ohio County,426,22.4000006914139%,0,0%,0,9909,1998,23.0000004172325%,1906
185,Oldham County,110,2.80000008642673%,0,0%,0,15541,1117,5.00000007450581%,3866
187,Owen County,10,1.20000001043081%,0,0%,0,5345,1174,21.9999998807907%,839
189,Owsley County,5,1.49999996647239%,0,0%,0,2247,401,46.9999998807907%,336
191,Pendleton County,27,2.5000000372529%,0,0%,0,5756,1447,15.9999996423721%,1076
193,Perry County,129,5.60000017285347%,0,0%,0,12741,2044,40.0000005960465%,2315
195,Pike County,1141,25.9999990463257%,1,0.0876424189307625%,0,30923,4246,33.0000013113022%,4389
197,Powell County,287,26.4999985694885%,0,0%,0,5526,394,36.0000014305115%,1083
199,Pulaski County,289,6.40000030398369%,0,0%,0,27181,4148,30.0000011920929%,4529
201,Robertson County,36,27.700001001358%,0,0%,1,1034,410,36.0000014305115%,130
203,Rockcastle County,251,20.8000004291534%,0,0%,0,7353,1206,30.0000011920929%,1207
205,Rowan County,297,20.0000002980232%,0,0%,0,8985,931,27.0000010728836%,1485
207,Russell County,131,10.700000077486%,0,0%,0,9064,1034,34.0000003576279%,1223
209,Scott County,128,3.20000015199184%,0,0%,0,12977,2073,12.9999995231628%,4014
211,Shelby County,71,1.99999995529652%,2,2.8169014084507%,0,12857,2411,12.9999995231628%,3511
213,Simpson County,34,2.60000005364418%,0,0%,0,7016,1439,15.0000005960464%,1291
215,Spencer County,13,0.999999977648258%,0,0%,0,4555,662,9.00000035762787%,1331
217,Taylor County,126,7.50000029802322%,0,0%,0,10180,1779,25%,1676
219,Todd County,14,1.30000002682209%,0,0%,0,5121,1270,25%,1106
221,Trigg County,17,1.89999993890524%,0,0%,0,6698,664,15.0000005960464%,887
