"CBLS County-level Summary Data for KY, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
165,Menifee County,46,1,0,0%,0,3710,347,55.0000011920929%
167,Mercer County,115,1,0,0%,0,9289,1989,18.0000007152557%
169,Metcalfe County,22,2,0,0%,0,4592,1042,31.9999992847443%
171,Monroe County,55,3,0,0%,0,5288,989,34.0000003576279%
173,Montgomery Coun,5,1,0,0%,0,9682,1452,18.9999997615814%
175,Morgan County,90,.,0,0%,0,5487,865,41.9999986886978%
177,Muhlenberg Coun,57,.,0,0%,0,13675,2749,25.9999990463257%
179,Nelson County,140,.,0,0%,0,14934,2134,18.9999997615814%
181,Nicholas County,61,2,0,0%,0,3051,1111,12.9999995231628%
183,Ohio County,n,n,n,n,n,9909,1998,23.0000004172325%
185,Oldham County,42,1,0,0%,0,15541,1117,5.00000007450581%
191,Pendleton Count,6,.,0,0%,0,5756,1447,15.9999996423721%
193,Perry County,19,1,0,0%,0,12741,2044,40.0000005960465%
197,Powell County,n,n,n,n,n,5526,394,36.0000014305115%
199,Pulaski County,95,2,0,0%,0,27181,4148,30.0000011920929%
201,Robertson Count,15,3,0,0%,0,1034,410,36.0000014305115%
203,Rockcastle Coun,126,9,0,0%,0,7353,1206,30.0000011920929%
205,Rowan County,192,3,0,0%,1,8985,931,27.0000010728836%
207,Russell County,99,6,0,0%,0,9064,1034,34.0000003576279%
209,Scott County,68,2,0,0%,0,12977,2073,12.9999995231628%
211,Shelby County,10,.,0,0%,1,12857,2411,12.9999995231628%
215,Spencer County,23,.,0,0%,0,4555,662,9.00000035762787%
217,Taylor County,59,3,0,0%,0,10180,1779,25%
223,Trimble County,32,3,0,0%,0,3437,666,11.9999997317791%
225,Union County,10,.,0,0%,1,6234,1541,18.0000007152557%
227,Warren County,78,3,3,3.79999987781048%,1,38350,4950,20.0000002980232%
229,Washington Coun,n,n,n,n,n,4542,1527,15.0000005960464%
231,Wayne County,65,.,0,0%,0,9789,1506,37.0000004768372%
233,Webster County,14,.,0,0%,0,6250,1924,17.0000001788139%
235,Whitley County,457,26,0,0%,1,15288,2241,38.9999985694885%
239,Woodford County,8,.,0,0%,0,9374,1737,9.00000035762787%
*# of Addresses where address state not in selected state: 4,# of Addresses where program state is not in selected state: 0,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
