"CBLS County-level Summary Data for KY, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
137,Lincoln County,33,1.60000007599592%,0,0%,0,10127,1784,28.999999165535%,2039
139,Livingston County,6,1.09999999403954%,0,0%,0,4772,780,9.00000035762787%,563
141,Logan County,23,1.09999999403954%,0,0%,1,11875,2581,23.9999994635582%,2138
143,Lyon County,,,,,,4189,352,20.0000002980232%,338
145,McCracken County,572,11.6999998688698%,1,0.174825174825175%,0,30361,6029,23.0000004172325%,4873
147,McCreary County,219,15.2999997138977%,1,0.45662100456621%,0,7405,816,40.9999996423721%,1434
149,McLean County,47,6.49999976158142%,0,0%,0,4392,910,25.9999990463257%,728
151,Madison County,197,3.29999998211861%,2,1.01522842639594%,0,29595,3614,20.9999993443489%,6012
153,Magoffin County,82,7.50000029802322%,0,0%,0,5447,649,49.0000009536743%,1091
155,Marion County,115,7.50000029802322%,0,0%,1,7277,1768,23.9999994635582%,1531
157,Marshall County,18,0.899999961256981%,0,0%,0,14730,1523,14.0000000596046%,1925
159,Martin County,8,0.800000037997961%,0,0%,0,5551,504,51.9999980926514%,969
161,Mason County,107,8.79999995231628%,0,0%,0,7754,2873,28.999999165535%,1220
163,Meade County,20,1.09999999403954%,0,0%,0,10293,1064,18.0000007152557%,1796
165,Menifee County,85,18.6000004410744%,0,0%,0,3710,347,55.0000011920929%,456
167,Mercer County,87,5.29999993741512%,1,1.14942528735632%,0,9289,1989,18.0000007152557%,1644
169,Metcalfe County,8,1.09999999403954%,0,0%,0,4592,1042,31.9999992847443%,752
171,Monroe County,71,7.99999982118607%,0,0%,0,5288,989,34.0000003576279%,885
173,Montgomery County,391,18.9999997615814%,0,0%,0,9682,1452,18.9999997615814%,2058
175,Morgan County,155,16.4000004529953%,0,0%,0,5487,865,41.9999986886978%,946
177,Muhlenberg County,63,2.80000008642673%,0,0%,0,13675,2749,25.9999990463257%,2213
179,Nelson County,7,0.20000000949949%,0,0%,0,14934,2134,18.9999997615814%,3478
181,Nicholas County,37,6.40000030398369%,0,0%,0,3051,1111,12.9999995231628%,578
183,Ohio County,82,4.39999997615814%,0,0%,0,9909,1998,23.0000004172325%,1866
185,Oldham County,11,0.300000002607703%,0,0%,0,15541,1117,5.00000007450581%,3650
187,Owen County,7,0.899999961256981%,0,0%,0,5345,1174,21.9999998807907%,787
189,Owsley County,,,,,,2247,401,46.9999998807907%,362
191,Pendleton County,18,1.60000007599592%,0,0%,0,5756,1447,15.9999996423721%,1142
193,Perry County,52,2.19999998807907%,0,0%,0,12741,2044,40.0000005960465%,2417
195,Pike County,185,3.99999991059303%,1,0.540540540540541%,0,30923,4246,33.0000013113022%,4571
