"CBLS County-level Summary Data for KY, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
193,Perry,22,0.915141430948419%,,0%,3051,1111,12.9999995231628%,2404
199,Pulaski,88,1.86480186480186%,,0%,9909,1998,23.0000004172325%,4719
201,Robertson,29,21.0144927536232%,1,3.44827586206897%,15541,1117,5.00000007450581%,138
203,Rockcastle,125,10.6382978723404%,,0%,5345,1174,21.9999998807907%,1175
205,Rowan,206,13.0710659898477%,,0%,2247,401,46.9999998807907%,1576
207,Russell,104,8.33333333333333%,,0%,5756,1447,15.9999996423721%,1248
209,Scott,3,0.0716503463100072%,,0%,12741,2044,40.0000005960465%,4187
211,Shelby,11,0.311173974540311%,3,27.2727272727273%,30923,4246,33.0000013113022%,3535
213,Simpson,6,0.47808764940239%,,0%,5526,394,36.0000014305115%,1255
215,Spencer,8,0.617760617760618%,,0%,27181,4148,30.0000011920929%,1295
217,Taylor,63,3.49223946784922%,,0%,1034,410,36.0000014305115%,1804
219,Todd,8,0.688468158347676%,,0%,7353,1206,30.0000011920929%,1162
223,Trimble,43,6.55487804878049%,,0%,8985,931,27.0000010728836%,656
225,Union,159,14.507299270073%,,0%,9064,1034,34.0000003576279%,1096
227,Warren,102,1.14593865857769%,,0%,12977,2073,12.9999995231628%,8901
231,Wayne,80,5.44588155207624%,,0%,12857,2411,12.9999995231628%,1469
233,Webster,152,13.4751773049645%,,0%,7016,1439,15.0000005960464%,1128
235,Whitley,314,9.99045497931912%,,0%,4555,662,9.00000035762787%,3143
237,Wolfe,2,0.288600288600289%,,0%,10180,1779,25%,693
239,Woodford,1,0.0518672199170125%,,0%,5121,1270,25%,1928
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Kentucky 2009 Confirmed Cases,,42,,,,,,
