"CBLS County-level Summary Data for MI, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
127,Oceana,456,19.0396659707724%,1,0.219298245614035%,492006,78387,7.00000002980232%,2395
129,Ogemaw,227,18.0015860428232%,,0%,15009,4028,23.9999994635582%,1261
131,Ontonagon,71,23.5099337748344%,,0%,15404,2817,20.9999993443489%,302
133,Osceola,210,12.0343839541547%,,0%,5404,2346,12.9999995231628%,1745
135,Oscoda,62,12.6016260162602%,,0%,12853,3109,18.9999997615814%,492
137,Otsego,275,16.9439309919901%,,0%,8690,1594,18.0000007152557%,1623
139,Ottawa,1219,5.62762568671807%,4,0.328137817883511%,13375,1685,7.99999982118607%,21661
141,Presque Isle,90,12.6050420168067%,,0%,86856,15645,5.00000007450581%,714
143,Roscommon,234,19.9318568994889%,,0%,9910,2739,15.0000005960464%,1174
145,Saginaw,2320,15.7256151291263%,12,0.517241379310345%,23109,3712,25.9999990463257%,14753
147,St. Clair,771,6.47518266565886%,3,0.389105058365759%,85505,25066,25.9999990463257%,11907
149,St. Joseph,743,13.3897999639575%,3,0.403768506056528%,67107,19833,10.9999999403954%,5549
151,Sanilac,455,15.2224824355972%,,0%,26503,9220,20.9999993443489%,2989
153,Schoolcraft,99,21.8061674008811%,,0%,21314,7388,14.0000000596046%,454
155,Shiawassee,693,14.0539444331779%,2,0.288600288600289%,5700,1886,17.0000001788139%,4931
157,Tuscola,457,11.9696176008381%,1,0.218818380743982%,29087,10452,11.9999997317791%,3818
159,Van Buren,859,13.0566955464356%,4,0.465657741559953%,23378,7675,10.0000001490116%,6579
161,Washtenaw,2605,10.8922896805486%,9,0.345489443378119%,33975,10003,17.0000001788139%,23916
163,Wayne,37189,24.101593638408%,452,1.21541315980532%,131069,25238,10.0000001490116%,154301
165,Wexford,272,10.9105495387084%,,0%,826145,317788,23.9999994635582%,2493
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Michigan 2009 Confirmed Cases,,713,,,,,,
