"CBLS County-level Summary Data for MN, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Aitkin County,202,20.8000004291534%,0,0%,0,14168,3250,17.0000001788139%,972
003,Anoka County,4259,15.8000007271767%,4,0.0939187602723644%,0,108091,6726,5.00000007450581%,26916
005,Becker County,516,20.6000000238419%,0,0%,1,16612,4095,18.0000007152557%,2503
007,Beltrami County,211,5.60000017285347%,1,0.4739336492891%,0,16989,3278,28.0000001192093%,3736
009,Benton County,800,23.0000004172325%,0,0%,0,13460,2773,9.00000035762787%,3481
011,Big Stone County,29,9.20000001788139%,0,0%,0,3171,1516,12.9999995231628%,315
013,Blue Earth County,668,15.7000005245209%,1,0.149700598802395%,1,21971,7376,14.0000000596046%,4247
015,Brown County,188,10.700000077486%,0,0%,0,11163,4872,10.9999999403954%,1752
017,Carlton County,547,22.4000006914139%,0,0%,0,13721,4420,9.00000035762787%,2446
019,Carver County,854,10.5999998748302%,1,0.117096018735363%,0,24883,3839,5.00000007450581%,8086
021,Cass County,265,12.6000002026558%,0,0%,0,21286,3691,20.0000002980232%,2097
023,Chippewa County,156,17.2999992966652%,0,0%,0,5855,2669,15.0000005960464%,903
025,Chisago County,585,13.0999997258186%,3,0.512820512820513%,0,15533,2893,7.99999982118607%,4482
027,Clay County,495,11.9000002741814%,2,0.404040404040404%,0,19746,4147,15.9999996423721%,4147
029,Clearwater County,46,6.89999982714653%,0,0%,0,4114,1258,23.0000004172325%,669
031,Cook County,19,6.89999982714653%,0,0%,0,4708,849,23.0000004172325%,276
033,Cottonwood County,77,9.30000022053719%,0,0%,0,5376,2559,23.9999994635582%,827
035,Crow Wing County,883,18.6000004410744%,2,0.226500566251416%,0,33483,6786,15.0000005960464%,4742
037,Dakota County,4760,14.2000004649162%,11,0.23109243697479%,0,133750,9271,3.99999991059303%,33486
