"CBLS County-level Summary Data for MN, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
147,Steele County,722,25.3511235955056%,5,1,13306,4402,9.00000035762787%,2848
149,Stevens County,153,23.6476043276661%,0,0,4074,1578,10.9999999403954%,647
151,Swift County,140,18.4453227931489%,0,0,4821,2387,10.0000001490116%,759
153,Todd County,286,16.6182452062754%,1,1,11900,4399,18.0000007152557%,1721
155,Traverse County,51,18.0212014134276%,1,0,2199,1104,15.0000005960464%,283
157,Wabasha County,203,12.8725428027901%,0,0,9066,3327,7.99999982118607%,1577
159,Wadena County,175,17.4476570289133%,0,0,6334,2137,20.0000002980232%,1003
161,Waseca County,321,20.9941137998692%,1,0,7427,2926,7.99999982118607%,1529
163,Washington County,1803,9.70502745182474%,8,1,73635,8254,2.99999993294477%,18578
165,Watonwan County,165,17.0630816959669%,1,0,5036,2523,18.0000007152557%,967
167,Wilkin County,68,11.9089316987741%,1,0,3105,1343,10.9999999403954%,571
169,Winona County,442,13.2892363199038%,12,2,19551,8332,12.9999995231628%,3326
171,Wright County,1457,16.3707865168539%,1,2,34355,6118,5.99999986588955%,8900
173,Yellow Medicine County,119,15.6992084432718%,1,0,4873,2542,10.9999999403954%,758
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Minnesota Total Confirmed Cases 2005,,669,,,,,,,
