"CBLS County-level Summary Data for OH, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
117,Morrow,247,9.30670685757347%,,0%,12132,3789,15.9999996423721%,2654
119,Muskingum,1980,31.1369712218902%,10,0.505050505050505%,35163,12609,23.0000004172325%,6359
121,Noble,216,24.1881298992161%,1,0.462962962962963%,5480,2054,20.9999993443489%,893
123,Ottawa,370,14.1437308868502%,2,0.540540540540541%,25532,7732,10.0000001490116%,2616
125,Paulding,150,10.1419878296146%,1,0.666666666666667%,8478,2668,14.0000000596046%,1479
127,Perry,470,16.9369369369369%,1,0.212765957446808%,13655,5256,18.0000007152557%,2775
129,Pickaway,953,24.5618556701031%,4,0.419727177334732%,18596,5258,14.0000000596046%,3880
131,Pike,288,12.8686327077748%,3,1.04166666666667%,11602,1935,28.999999165535%,2238
133,Portage,1597,15.7557221783741%,4,0.250469630557295%,60096,13390,11.9999997317791%,10136
135,Preble,334,10.9652002626395%,3,0.898203592814371%,17186,6155,7.99999982118607%,3046
137,Putnam,311,10.34253408713%,1,0.321543408360129%,12753,4643,9.00000035762787%,3007
139,Richland,2236,24.2885074951119%,13,0.581395348837209%,53062,17835,18.0000007152557%,9206
141,Ross,1113,20.2290076335878%,8,0.718778077268643%,29461,9133,18.0000007152557%,5502
143,Sandusky,659,13.8300104931794%,6,0.910470409711684%,25253,11053,12.9999995231628%,4765
145,Scioto,708,11.9898391193903%,,0%,34054,12118,28.999999165535%,5905
147,Seneca,1062,24.5378927911275%,7,0.659133709981168%,23692,11662,12.9999995231628%,4328
149,Shelby,540,12.5028941884696%,4,0.740740740740741%,18682,5985,10.9999999403954%,4319
151,Stark,5353,19.7142120575995%,43,0.803287875957407%,157024,53354,17.0000001788139%,27153
153,Summit,7016,17.9428162242341%,22,0.313568985176739%,230880,75585,17.0000001788139%,39102
155,Trumbull,1585,11.1603999436699%,10,0.630914826498423%,95117,29730,18.9999997615814%,14202
157,Tuscarawas,996,14.1860133884062%,7,0.70281124497992%,38113,15438,15.0000005960464%,7021
159,Union,396,8.89088459811405%,,0%,15217,4512,5.00000007450581%,4454
161,Van Wert,492,21.8181818181818%,1,0.203252032520325%,12363,5950,5.99999986588955%,2255
163,Vinton,158,16.2886597938144%,,0%,5653,1338,28.0000001192093%,970
165,Warren,1175,6.6122678671919%,4,0.340425531914894%,58692,7000,3.99999991059303%,17770
167,Washington,697,17.3902195608782%,13,1.86513629842181%,27760,8233,18.9999997615814%,4008
169,Wayne,1085,11.2844513780551%,9,0.829493087557604%,42324,12386,11.9999997317791%,9615
171,Williams,777,28.2135076252723%,8,1.02960102960103%,16140,6143,7.00000002980232%,2754
173,Wood,896,10.5560791705938%,5,0.558035714285714%,47468,12394,9.00000035762787%,8488
175,Wyandot,240,13.8169257340242%,4,1.66666666666667%,9324,4480,5.99999986588955%,1737
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Ohio Confirmed Cases 2009,,1323,,,,,,
