"CBLS County-level Summary Data for NC, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
139,Pasquotank,763,21.4566929133858%,6,0.786369593709043%,14289,2793,33.0000013113022%,3556
141,Pender,1043,28.4972677595628%,1,0.0958772770853308%,20798,1549,23.9999994635582%,3660
143,Perquimans,203,24.0521327014218%,,0%,6043,1106,21.9999998807907%,844
145,Person,678,23.94913458142%,,0%,15504,2490,18.0000007152557%,2831
147,Pitt,2276,16.8156630956779%,6,0.263620386643234%,58408,5585,21.9999998807907%,13535
149,Polk,236,22.8903976721629%,,0%,9192,1779,7.99999982118607%,1031
151,Randolph,2586,22.7921734531994%,4,0.154679040989946%,54422,7413,14.0000000596046%,11346
153,Richmond,1032,26.4751154438173%,4,0.387596899224806%,19886,3918,34.0000003576279%,3898
155,Robeson,3428,26.6273108590959%,10,0.29171528588098%,47779,6142,33.0000013113022%,12874
157,Rockingham,1406,20.9631728045326%,2,0.142247510668563%,40208,8726,18.0000007152557%,6707
159,Rowan,2519,22.9291825960313%,2,0.0793965859468043%,53980,10832,15.0000005960464%,10986
161,Rutherford,970,20.8871662360034%,2,0.206185567010309%,29535,5119,20.0000002980232%,4644
163,Sampson,1478,25.6820156385751%,,0%,25142,4083,23.9999994635582%,5755
165,Scotland,953,30.8414239482201%,,0%,14693,1646,31.9999992847443%,3090
167,Stanly,1230,27.7527075812274%,1,0.0813008130081301%,24582,5261,15.0000005960464%,4432
169,Stokes,618,20.9349593495935%,3,0.485436893203883%,19262,2812,10.9999999403954%,2952
171,Surry,1375,24.65041233417%,1,0.0727272727272727%,31033,5397,17.0000001788139%,5578
173,Swain,411,36.8940754039497%,,0%,7105,890,28.999999165535%,1114
175,Transylvania,510,27.448869752422%,,0%,15553,2273,11.9999997317791%,1858
177,Tyrrell,97,35.6617647058824%,,0%,2032,506,34.9999994039536%,272
179,Union,2717,14.1407307171854%,,0%,45695,4000,11.9999997317791%,19214
181,Vance,844,20.8652657601978%,,0%,18196,2337,31.9999992847443%,4045
183,Wake,11968,14.1868183973447%,16,0.133689839572193%,258953,16747,9.00000035762787%,84360
185,Warren,406,31.3755795981453%,4,0.985221674876847%,10548,1616,23.0000004172325%,1294
187,Washington,304,28.842504743833%,2,0.657894736842105%,6174,1296,28.999999165535%,1054
189,Watauga,656,28.3002588438309%,,0%,23155,2360,15.9999996423721%,2318
191,Wayne,2827,26.7936688465548%,9,0.318358684117439%,47313,5910,20.0000002980232%,10551
193,Wilkes,853,17.5876288659794%,1,0.117233294255569%,29261,4234,15.9999996423721%,4850
195,Wilson,1766,26.1165335699497%,8,0.453001132502831%,30729,5289,28.0000001192093%,6762
197,Yadkin,652,22.4132004125129%,1,0.153374233128834%,15821,2755,12.9999995231628%,2909
199,Yancey,288,24%,,0%,9729,1631,21.9999998807907%,1200
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,North Carolina 2009 Confirmed Cases,,219,,,,,,
