"CBLS County-level Summary Data for NC, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
151,Randolph County,1808,16.4000004529953%,5,0.276548672566372%,1,54422,7413,14.0000000596046%,11010
153,Richmond County,790,21.4000001549721%,6,0.759493670886076%,1,19886,3918,34.0000003576279%,3700
155,Robeson County,2999,25.2999991178513%,5,0.166722240746916%,0,47779,6142,33.0000013113022%,11862
157,Rockingham County,1142,17.399999499321%,2,0.175131348511384%,0,40208,8726,18.0000007152557%,6562
159,Rowan County,1164,11.2000003457069%,3,0.257731958762887%,0,53980,10832,15.0000005960464%,10366
161,Rutherford County,738,16.0999998450279%,4,0.542005420054201%,2,29535,5119,20.0000002980232%,4590
163,Sampson County,1241,22.4000006914139%,3,0.24174053182917%,1,25142,4083,23.9999994635582%,5534
165,Scotland County,623,21.6999992728233%,1,0.160513643659711%,0,14693,1646,31.9999992847443%,2877
167,Stanly County,1099,25%,1,0.0909918107370337%,0,24582,5261,15.0000005960464%,4397
169,Stokes County,392,12.8999993205071%,2,0.510204081632653%,0,19262,2812,10.9999999403954%,3037
171,Surry County,1169,21.8999996781349%,3,0.256629597946963%,0,31033,5397,17.0000001788139%,5349
173,Swain County,356,34.5999985933304%,0,0%,0,7105,890,28.999999165535%,1030
175,Transylvania County,344,19.7999998927116%,0,0%,0,15553,2273,11.9999997317791%,1736
177,Tyrrell County,94,36.0000014305115%,0,0%,0,2032,506,34.9999994039536%,261
179,Union County,2065,11.4000000059605%,2,0.0968523002421308%,1,45695,4000,11.9999997317791%,18098
181,Vance County,954,23.8000005483627%,4,0.419287211740042%,0,18196,2337,31.9999992847443%,4008
183,Wake County,11091,14.2000004649162%,23,0.207375349382382%,3,258953,16747,9.00000035762787%,78297
185,Warren County,249,20.100000500679%,2,0.803212851405622%,0,10548,1616,23.0000004172325%,1238
187,Washington County,298,29.3000012636185%,1,0.335570469798658%,0,6174,1296,28.999999165535%,1018
189,Watauga County,449,20.2999994158745%,2,0.44543429844098%,0,23155,2360,15.9999996423721%,2208
191,Wayne County,2960,28.7000000476837%,8,0.27027027027027%,1,47313,5910,20.0000002980232%,10321
193,Wilkes County,582,12.0999999344349%,0,0%,0,29261,4234,15.9999996423721%,4825
195,Wilson County,1341,20.8000004291534%,5,0.372856077554064%,1,30729,5289,28.0000001192093%,6436
197,Yadkin County,494,17.4999997019768%,2,0.404858299595142%,0,15821,2755,12.9999995231628%,2820
199,Yancey County,239,20.8000004291534%,0,0%,0,9729,1631,21.9999998807907%,1151
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,North Carolina 2007 Confirmed Cases,,359,,,,,,,
