"CBLS County-level Summary Data for VA, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
760,Richmond city,4157,24.6000006794929%,102,2.45369256675487%,23,92282,38192,33.0000013113022%,16873
770,Roanoke city,2097,32.3000013828278%,24,1.1444921316166%,7,45257,15874,28.0000001192093%,6498
775,Salem city,486,34.400001168251%,0,0%,0,10403,2188,5.00000007450581%,1411
790,Staunton city,545,35.6000006198883%,9,1.65137614678899%,0,10427,3629,14.0000000596046%,1529
800,Suffolk city,1242,18.0000007152557%,11,0.885668276972625%,1,24704,4527,17.0000001788139%,6894
810,Virginia Beach city,1973,5.29999993741512%,3,0.15205271160669%,0,162277,5023,9.00000035762787%,37540
820,Waynesboro city,474,27.0000010728836%,2,0.421940928270042%,0,8863,2355,23.0000004172325%,1754
830,Williamsburg city,5,0.600000005215406%,0,0%,0,3880,739,37.9999995231628%,786
840,Winchester city,380,17.1000003814697%,6,1.57894736842105%,1,10587,3387,20.0000002980232%,2222
055,Unknown,,,,,,,,,
999,Unknown,8,,0,0%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Virginia Total Confirmed Cases 2006,,531,,,,,,,,
