"CBLS County-level Summary Data for VA, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
147,Prince Edward,333,25.6548536209553%,1,0.3003003003003%,7527,1513,25%,1298
149,Prince George,152,6.11916264090177%,,0%,10726,777,11.9999997317791%,2484
153,Prince William,3508,8.77833942245133%,6,0.171037628278221%,98052,2994,5.99999986588955%,39962
155,Pulaski,358,16.9267139479905%,,0%,16325,3795,23.9999994635582%,2115
157,Rappahannock,105,23.7020316027088%,,0%,3303,1024,11.9999997317791%,443
159,Richmond,66,12.2676579925651%,2,3.03030303030303%,3512,805,21.9999998807907%,538
161,Roanoke,409,6.05477424130274%,1,0.244498777506112%,36121,3377,5.99999986588955%,6755
163,Rockbridge,69,4.56349206349206%,,0%,9550,2382,11.9999997317791%,1512
165,Rockingham,1188,21.2180746561886%,4,0.336700336700337%,27328,6146,10.9999999403954%,5599
167,Russell,191,10.2412868632708%,1,0.523560209424084%,13191,2435,20.0000002980232%,1865
169,Scott,305,22.1174764321972%,,0%,11355,3026,27.0000010728836%,1379
171,Shenandoah,261,8.54337152209493%,,0%,16709,4469,10.0000001490116%,3055
173,Smyth,465,22.3665223665224%,,0%,15111,3423,18.9999997615814%,2079
175,Southampton,149,13.3872416891285%,,0%,7058,1781,21.9999998807907%,1113
177,Spotsylvania,1263,12.2052570545033%,3,0.237529691211401%,33329,1459,5.00000007450581%,10348
179,Stafford,1034,9.7870326549929%,4,0.386847195357834%,31405,1594,3.99999991059303%,10565
181,Surry,47,10.955710955711%,,0%,3294,720,15.0000005960464%,429
183,Sussex,184,25.7703081232493%,2,1.08695652173913%,4653,989,25.9999990463257%,714
185,Tazewell,659,22.7633851468048%,1,0.151745068285281%,20390,4631,23.0000004172325%,2895
187,Warren,213,7.04132231404959%,2,0.938967136150235%,13299,2629,7.99999982118607%,3025
191,Washington,96,2.8906955736224%,,0%,22985,4006,11.9999997317791%,3321
193,Westmoreland,171,14.3939393939394%,1,0.584795321637427%,9286,1990,25%,1188
195,Wise,342,11.519029976423%,1,0.292397660818713%,17792,3849,28.999999165535%,2969
197,Wythe,424,21.5666327568667%,1,0.235849056603774%,12744,3060,11.9999997317791%,1966
199,York,125,3.18228105906314%,,0%,20701,1145,5.00000007450581%,3928
510,Alexandria (city),2264,16.453488372093%,7,0.309187279151943%,64251,14791,12.9999995231628%,13760
515,Bedford (city),145,35.2798053527981%,1,0.689655172413793%,2702,719,36.0000014305115%,411
520,Bristol (city),127,10.5045492142266%,2,1.5748031496063%,8469,2528,25.9999990463257%,1209
530,Buena Vista (city),21,6.60377358490566%,,0%,2716,934,18.0000007152557%,318
540,Charlottesville (city),427,15.0617283950617%,,0%,17591,4912,21.9999998807907%,2835
550,Chesapeake (city),1730,9.66588445636384%,6,0.346820809248555%,72672,4603,10.9999999403954%,17898
570,Colonial Heights (city),272,19.7101449275362%,,0%,7340,1421,2.99999993294477%,1380
580,Covington (city),195,67.4740484429066%,1,0.512820512820513%,3195,1610,20.9999993443489%,289
590,Danville (city),1355,40.7764068612699%,10,0.738007380073801%,23108,7659,40.9999996423721%,3323
595,Emporia (city),304,77.7493606138107%,2,0.657894736842105%,2412,537,18.9999997615814%,391
600,Fairfax (city),819,40.2061855670103%,,0%,8204,613,1.99999995529652%,2037
610,Falls Church (city),200,23.89486260454%,,0%,4725,1419,5.99999986588955%,837
620,Franklin (city),167,18.5555555555556%,,0%,3767,569,33.0000013113022%,900
630,Fredericksburg (city),405,19.0498588899342%,1,0.246913580246914%,8888,2833,20.0000002980232%,2126
640,Galax (city),260,50.2901353965184%,,0%,3217,735,27.0000010728836%,517
650,Hampton (city),1597,14.1003001942433%,3,0.187852222917971%,57311,8370,17.0000001788139%,11326
660,Harrisonburg (city),547,18.5047361299053%,3,0.548446069469835%,13689,1895,23.9999994635582%,2956
670,Hopewell (city),425,19.4864740944521%,,0%,9749,2044,28.0000001192093%,2181
678,Lexington (city),49,23.9024390243902%,,0%,2376,1021,27.0000010728836%,205
680,Lynchburg (city),1068,18.5997910135841%,2,0.187265917602996%,27640,8561,25.9999990463257%,5742
683,Manassas (city),1335,33.53428786737%,,0%,12114,563,7.99999982118607%,3981
685,Manassas Park (city),569,38.1367292225201%,2,0.351493848857645%,3365,96,5.99999986588955%,1492
690,Martinsville (city),158,14.4688644688645%,2,1.26582278481013%,7249,2317,27.0000010728836%,1092
700,Newport News (city),2186,11.9820214865161%,10,0.457456541628545%,74117,8384,23.0000004172325%,18244
710,Norfolk (city),3792,17.4232677816578%,21,0.55379746835443%,94416,27201,28.0000001192093%,21764
