"CBLS County-level Summary Data for VA, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
157,Rappahannock County,30,6.96055684454756%,0,0,3303,1024,11.9999997317791%,431
159,Richmond County,69,16.3120567375887%,0,0,3512,805,21.9999998807907%,423
161,Roanoke County,484,8.60444444444445%,3,1,36121,3377,5.99999986588955%,5625
163,Rockbridge County,53,3.97003745318352%,0,0,9550,2382,11.9999997317791%,1335
165,Rockingham County,467,8.90371782650143%,3,0,27328,6146,10.9999999403954%,5245
167,Russell County,243,12.1197007481297%,0,0,13191,2435,20.0000002980232%,2005
169,Scott County,256,17.3794976238968%,1,0,11355,3026,27.0000010728836%,1473
171,Shenandoah County,404,16.6186754422049%,3,0,16709,4469,10.0000001490116%,2431
173,Smyth County,248,11.141060197664%,1,0,15111,3423,18.9999997615814%,2226
175,Southampton County,90,8.63723608445297%,2,0,7058,1781,21.9999998807907%,1042
177,Spotsylvania County,867,10.5487285557854%,4,0,33329,1459,5.00000007450581%,8219
179,Stafford County,463,5.39124359571495%,3,0,31405,1594,3.99999991059303%,8588
181,Surry County,58,11.623246492986%,1,0,3294,720,15.0000005960464%,499
183,Sussex County,106,15.1645207439199%,0,0,4653,989,25.9999990463257%,699
185,Tazewell County,667,22.8424657534247%,3,1,20390,4631,23.0000004172325%,2920
187,Warren County,148,5.89171974522293%,0,0,13299,2629,7.99999982118607%,2512
191,Washington County,189,6.05187319884726%,2,0,22985,4006,11.9999997317791%,3123
193,Westmoreland County,159,15.0997150997151%,3,1,9286,1990,25%,1053
195,Wise County,212,7.62315713772025%,0,0,17792,3849,28.999999165535%,2781
197,Wythe County,223,12.1195652173913%,4,0,12744,3060,11.9999997317791%,1840
199,York County,82,1.76116838487973%,0,0,20701,1145,5.00000007450581%,4656
510,Alexandria city,1678,17.9196924391286%,6,0,64251,14791,12.9999995231628%,9364
515,Bedford city,106,23.9277652370203%,1,1,2702,719,36.0000014305115%,443
520,Bristol city,165,15.1933701657459%,0,0,8469,2528,25.9999990463257%,1086
530,Buena Vista city,37,9.1358024691358%,0,0,2716,934,18.0000007152557%,405
540,Charlottesville city,261,10.8343711083437%,2,0,17591,4912,21.9999998807907%,2409
550,Chesapeake city,1153,6.70660772452303%,15,1,72672,4603,10.9999999403954%,17192
570,Colonial Heights city,169,16.7492566897919%,0,0,7340,1421,2.99999993294477%,1009
580,Covington city,144,30.6382978723404%,1,1,3195,1610,20.9999993443489%,470
590,Danville city,780,22.2348916761688%,19,2,23108,7659,40.9999996423721%,3508
595,Emporia city,78,17.7676537585421%,1,1,2412,537,18.9999997615814%,439
600,Fairfax city,451,30.1874163319946%,0,0,8204,613,1.99999995529652%,1494
610,Falls Church city,127,17.2554347826087%,0,0,4725,1419,5.99999986588955%,736
620,Franklin city,131,25.1923076923077%,0,0,3767,569,33.0000013113022%,520
630,Fredericksburg city,311,23.4894259818731%,4,0,8888,2833,20.0000002980232%,1324
640,Galax city,127,28.4116331096197%,1,0,3217,735,27.0000010728836%,447
650,Hampton city,1386,12.5680087051143%,8,0,57311,8370,17.0000001788139%,11028
660,Harrisonburg city,219,9.27573062261754%,3,0,13689,1895,23.9999994635582%,2361
670,Hopewell city,359,16.6666666666667%,6,1,9749,2044,28.0000001192093%,2154
678,Lexington city,24,9.67741935483871%,0,0,2376,1021,27.0000010728836%,248
680,Lynchburg city,338,7.03141252340337%,13,5,27640,8561,25.9999990463257%,4807
683,Manassas city,556,15.3761061946903%,1,0,12114,563,7.99999982118607%,3616
685,Manassas Park city,257,20.8943089430894%,1,0,3365,96,5.99999986588955%,1230
690,Martinsville city,45,4.13983440662374%,2,0,7249,2317,27.0000010728836%,1087
700,Newport News city,1324,7.74178458659806%,12,2,74117,8384,23.0000004172325%,17102
710,Norfolk city,2589,13.1381305186238%,32,8,94416,27201,28.0000001192093%,19706
720,Norton city,30,12.2448979591837%,0,0,1946,517,46.000000834465%,245
730,Petersburg city,617,23.8684719535783%,14,6,15955,3965,31.0000002384186%,2585
735,Poquoson city,14,1.90476190476191%,0,0,4300,544,7.00000002980232%,735
740,Portsmouth city,1551,18.5238265854532%,18,5,41605,12267,28.0000001192093%,8373
750,Radford city,34,4.89208633093525%,0,0,6137,1432,12.9999995231628%,695
760,Richmond city,3885,26.0423649282746%,112,33,92282,38192,33.0000013113022%,14918
770,Roanoke city,2043,27.5485436893204%,31,5,45257,15874,28.0000001192093%,7416
775,Salem city,429,29.4440631434454%,1,0,10403,2188,5.00000007450581%,1457
790,Staunton city,459,28.9407313997478%,2,0,10427,3629,14.0000000596046%,1586
800,Suffolk city,853,15.6141314296174%,13,1,24704,4527,17.0000001788139%,5463
810,Virginia Beach city,1974,5.41044264766342%,8,0,162277,5023,9.00000035762787%,36485
820,Waynesboro city,351,23.3067729083665%,3,0,8863,2355,23.0000004172325%,1506
830,Williamsburg city,,0%,,,3880,739,37.9999995231628%,378
840,Winchester city,148,8.2727780883175%,1,0,10587,3387,20.0000002980232%,1789
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Virginia Total Confirmed Cases 2005,,529,,,,,,,
