"CBLS County-level Summary Data for VA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
131,Northampton County,201,19.200000166893%,5,2.48756218905473%,2,6547,2477,37.9999995231628%,1046
133,Northumberland County,46,6.59999996423721%,0,0%,0,8057,1943,20.0000002980232%,699
135,Nottoway County,142,13.400000333786%,2,1.40845070422535%,0,6373,1925,21.9999998807907%,1058
137,Orange County,438,17.399999499321%,3,0.684931506849315%,0,11354,2090,11.9999997317791%,2520
139,Page County,175,10.5999998748302%,0,0%,0,10557,2936,15.9999996423721%,1658
141,Patrick County,139,12.7000004053116%,1,0.719424460431655%,0,9823,1898,15.9999996423721%,1095
143,Pittsylvania County,517,12.7000004053116%,1,0.193423597678917%,0,28011,4796,15.9999996423721%,4064
145,Powhatan County,127,6.70000016689301%,0,0%,0,7509,678,5.00000007450581%,1900
147,Prince Edward County,204,16.3000002503395%,0,0%,0,7527,1513,25%,1250
149,Prince George County,154,7.19999969005585%,1,0.649350649350649%,0,10726,777,11.9999997317791%,2141
153,Prince William County,2536,6.49999976158142%,6,0.236593059936909%,2,98052,2994,5.99999986588955%,38803
155,Pulaski County,282,13.3000001311302%,1,0.354609929078014%,0,16325,3795,23.9999994635582%,2119
157,Rappahannock County,45,9.89999994635582%,2,4.44444444444444%,1,3303,1024,11.9999997317791%,456
159,Richmond County,54,9.89999994635582%,0,0%,0,3512,805,21.9999998807907%,543
161,Roanoke County,476,7.19999969005585%,2,0.420168067226891%,1,36121,3377,5.99999986588955%,6653
163,Rockbridge County,30,1.99999995529652%,0,0%,0,9550,2382,11.9999997317791%,1532
165,Rockingham County,1080,19.7999998927116%,1,0.0925925925925926%,1,27328,6146,10.9999999403954%,5463
167,Russell County,300,16.6999995708466%,1,0.333333333333333%,0,13191,2435,20.0000002980232%,1799
169,Scott County,60,4.6000000089407%,1,1.66666666666667%,0,11355,3026,27.0000010728836%,1317
171,Shenandoah County,383,12.7000004053116%,1,0.261096605744125%,0,16709,4469,10.0000001490116%,3020
173,Smyth County,388,19.4999992847443%,2,0.515463917525773%,0,15111,3423,18.9999997615814%,1985
175,Southampton County,84,7.69999995827675%,3,3.57142857142857%,0,7058,1781,21.9999998807907%,1093
177,Spotsylvania County,1023,9.6000000834465%,2,0.195503421309873%,0,33329,1459,5.00000007450581%,10676
179,Stafford County,691,6.59999996423721%,1,0.144717800289436%,0,31405,1594,3.99999991059303%,10409
181,Surry County,48,11.2000003457069%,1,2.08333333333333%,0,3294,720,15.0000005960464%,428
183,Sussex County,137,18.299999833107%,0,0%,0,4653,989,25.9999990463257%,750
185,Tazewell County,768,27.2000014781952%,2,0.260416666666667%,0,20390,4631,23.0000004172325%,2819
187,Warren County,161,5.29999993741512%,1,0.62111801242236%,0,13299,2629,7.99999982118607%,3052
191,Washington County,227,7.10000023245811%,0,0%,0,22985,4006,11.9999997317791%,3219
