"CBLS County-level Summary Data for FL, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
113,Santa Rosa County,139,1.30000002682209%,0,0%,0,49119,1915,12.9999995231628%,10462
115,Sarasota County,1266,6.70000016689301%,3,0.23696682464455%,4,182467,7183,15.0000005960464%,18917
117,Seminole County,842,2.8999999165535%,3,0.356294536817102%,1,147079,4339,9.00000035762787%,29485
119,Sumter County,649,19.4999992847443%,1,0.154083204930663%,2,25195,1323,27.0000010728836%,3320
121,Suwannee County,161,5.29999993741512%,0,0%,0,15679,1361,23.9999994635582%,3038
123,Taylor County,94,6.70000016689301%,0,0%,0,9646,1067,23.9999994635582%,1412
125,Union County,72,8.10000002384186%,0,0%,0,3736,275,15.9999996423721%,884
127,Volusia County,1250,4.10000011324883%,0,0%,5,211938,14310,17.0000001788139%,30392
129,Wakulla County,116,5.99999986588955%,0,0%,0,9820,451,18.9999997615814%,1935
131,Walton County,91,2.60000005364418%,0,0%,0,29083,1544,27.0000010728836%,3513
133,Washington County,126,8.39999988675118%,0,0%,0,9503,1056,30.0000011920929%,1493
999,Unknown,,,,,,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Florida Total Confirmed Cases 2006,,272,,,,,,,,
