"CBLS County-level Summary Data for OK, 2005",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2005"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
131,Rogers County,135,2.25150100066711%,1,0,27476,2544,10.9999999403954%,5996
133,Seminole County,170,8.70455709165387%,3,0,11146,3113,33.0000013113022%,1953
135,Sequoyah County,261,7.60711162926261%,1,0,16940,1484,27.0000010728836%,3431
137,Stephens County,439,13.2949727437916%,5,2,19854,3509,23.9999994635582%,3302
139,Texas County,51,2.48296007789679%,0,0,8014,1717,20.0000002980232%,2054
141,Tillman County,183,27.8538812785388%,3,1,4342,1872,37.9999995231628%,657
143,Tulsa County,1875,3.81175035576337%,12,2,243953,37585,18.0000007152557%,49190
145,Wagoner County,160,3.18534740195103%,1,0,23174,1716,14.0000000596046%,5023
147,Washington County,169,4.88721804511278%,3,0,22250,5020,23.0000004172325%,3458
149,Washita County,52,6.23501199040767%,1,0,5452,1754,25.9999990463257%,834
151,Woods County,7,1.42276422764228%,0,0,4492,1880,11.9999997317791%,492
153,Woodward County,74,5.02717391304348%,0,0,8341,1807,15.0000005960464%,1472
"* Based on most recent five years of data, 2001-2005",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Oklahoma Total Confirmed Cases 2005,,225,,,,,,,
