"CBLS County-level Summary Data for IL, 2006",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2006"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
181,Union County,307,24.099999666214%,7,2.28013029315961%,1,7894,2817,25.9999990463257%,1275
183,Vermilion County,947,15.0000005960464%,40,4.22386483632524%,12,36349,15704,23.0000004172325%,6329
185,Wabash County,256,28.999999165535%,5,1.953125%,0,5758,2289,25.9999990463257%,883
187,Warren County,205,17.5999999046326%,6,2.92682926829268%,3,7787,4277,14.0000000596046%,1164
189,Washington County,78,7.69999995827675%,2,2.56410256410256%,1,6385,2413,7.00000002980232%,1009
191,Wayne County,419,37.0000004768372%,7,1.67064439140811%,2,7950,2773,20.0000002980232%,1132
193,White County,166,16.4000004529953%,8,4.81927710843374%,2,7393,2675,25%,1015
197,Will County,2918,5.00000007450581%,35,1.19945167923235%,8,175524,25200,5.99999986588955%,58928
199,Williamson County,418,9.49999988079071%,2,0.478468899521531%,1,27703,8474,23.9999994635582%,4416
201,Winnebago County,4013,16.8999999761581%,93,2.31746822825816%,52,114404,30628,15.0000005960464%,23799
203,Woodford County,157,5.99999986588955%,1,0.636942675159236%,0,13487,4114,5.99999986588955%,2625
999,Unknown,5,,0,0%,1,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2002-2006",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
Illinois Total Confirmed Cases 2006,,4427,,,,,,,,
