"CBLS County-level Summary Data for IL, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
133,Monroe,1,0.0403063280935107%,,0%,10749,2485,5.00000007450581%,2481
135,Montgomery,539,27.7835051546392%,1,0.185528756957328%,12525,5918,27.0000010728836%,1940
137,Morgan,721,30.6027164685908%,10,1.3869625520111%,15291,5806,14.0000000596046%,2356
139,Moultrie,1,0.0876424189307625%,,0%,5743,2143,10.0000001490116%,1141
141,Ogle,420,10.5980317940954%,2,0.476190476190476%,20420,7646,10.0000001490116%,3963
143,Peoria,3732,23.3878548599361%,69,1.84887459807074%,78204,26520,23.0000004172325%,15957
145,Perry,457,31.4955203308063%,5,1.09409190371991%,9457,3565,20.9999993443489%,1451
149,Pike,328,28.6964129483815%,1,0.304878048780488%,8011,3762,12.9999995231628%,1143
151,Pope,39,17.8899082568807%,,0%,2351,733,20.9999993443489%,218
153,Pulaski,139,27.4703557312253%,,0%,3353,1178,37.0000004768372%,506
155,Putnam,57,14.6529562982005%,1,1.75438596491228%,2888,998,7.00000002980232%,389
157,Randolph,257,11.7030965391621%,,0%,13328,4769,18.9999997615814%,2196
159,Richland,276,24.360105913504%,2,0.72463768115942%,7468,2584,23.0000004172325%,1133
161,Rock Island,3993,34.8550977653631%,50,1.25219133483596%,64489,25631,20.9999993443489%,11456
163,St. Clair,7006,31.0370796969831%,27,0.385383956608621%,104446,26048,23.9999994635582%,22573
165,Saline,649,35.2717391304348%,1,0.154083204930663%,12360,4620,20.0000002980232%,1840
167,Sangamon,2969,19.4497215853259%,15,0.50522061300101%,85459,22747,15.9999996423721%,15265
169,Schuyler,135,31.0344827586207%,1,0.740740740740741%,3304,1429,7.99999982118607%,435
171,Scott,94,25.5434782608696%,,0%,2464,1136,14.0000000596046%,368
173,Shelby,299,19.4661458333333%,5,1.67224080267559%,10060,4033,15.0000005960464%,1536
175,Stark,88,20.952380952381%,1,1.13636363636364%,2725,1622,10.9999999403954%,420
177,Stephenson,973,28.949717346028%,17,1.74717368961973%,21713,9906,17.0000001788139%,3361
179,Tazewell,1710,16.7073766487543%,11,0.64327485380117%,52973,13855,9.00000035762787%,10235
181,Union,420,31.7700453857791%,1,0.238095238095238%,7894,2817,25.9999990463257%,1322
183,Vermilion,997,15.5441222326162%,11,1.10330992978937%,36349,15704,23.0000004172325%,6414
185,Wabash,334,38.702201622248%,1,0.29940119760479%,5758,2289,25.9999990463257%,863
187,Warren,330,25.9026687598116%,5,1.51515151515152%,7787,4277,14.0000000596046%,1274
189,Washington,157,14.7556390977444%,1,0.636942675159236%,6385,2413,7.00000002980232%,1064
191,Wayne,345,29.664660361135%,2,0.579710144927536%,7950,2773,20.0000002980232%,1163
193,White,314,30.0478468899521%,,0%,7393,2675,25%,1045
195,Whiteside,1,0.0228050171037628%,,0%,175524,25200,5.99999986588955%,4385
197,Will,6319,10.0400394038578%,24,0.379806931476499%,27703,8474,23.9999994635582%,62938
199,Williamson,261,5.40820555325321%,,0%,114404,30628,15.0000005960464%,4826
201,Winnebago,5781,23.4238249594814%,61,1.0551807645736%,13487,4114,5.99999986588955%,24680
203,Woodford,56,1.85062789160608%,2,3.57142857142857%,,,,3026
999,Unknown County/Out Of State for Illinois,1,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
,,,,,,,,,
,Illinois 2009 Confirmed Cases,,1631,,,,,,
