"CBLS County-level Summary Data for TX, 2009",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Screening Rate (# tested / population),Total # of Confirmed Cases,Case Rate (# Confirmed / #Tested),Census 2000 Data,,,"Estimated Population of Children < 6, 2009"
,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
487,Wilbarger,125,9.85027580772262%,1,0.8%,2687,1068,18.9999997615814%,1269
489,Willacy,418,18.5860382392174%,1,0.239234449760766%,53304,11148,20.9999993443489%,2249
491,Williamson,2654,6.57826248605775%,1,0.0376789751318764%,6371,2385,20.9999993443489%,40345
493,Wilson,193,6.03502188868043%,,0%,6727,1244,40.0000005960465%,3198
495,Winkler,40,5.56328233657858%,,0%,90325,5071,5.99999986588955%,719
497,Wise,314,6.5512205299395%,1,0.318471337579618%,12110,1337,11.9999997317791%,4793
499,Wood,409,13.9638101741209%,1,0.244498777506112%,3214,513,21.9999998807907%,2929
501,Yoakum,66,7.13513513513514%,,0%,19242,2165,14.0000000596046%,925
503,Young,124,8.47573479152427%,,0%,17939,2302,23.9999994635582%,1463
505,Zapata,129,7.01468189233279%,,0%,2974,247,23.9999994635582%,1839
507,Zavala,308,22.7810650887574%,1,0.324675324675325%,8504,2171,25.9999990463257%,1352
,,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2005-2009",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
Texas Total Confirmed Cases 2009,,,,478,,,,,
