FIPS,county,totaltested,totalpos,percent
29005,Atchison County,446,17,3.811659192825112
29007,Audrain County,2276,47,2.0650263620386644
29009,Barry County,1974,23,1.165146909827761
29011,Barton County,1067,20,1.874414245548266
29013,Bates County,2072,28,1.3513513513513513
29015,Benton County,999,16,1.6016016016016015
29017,Bollinger County,1115,5,0.4484304932735426
29019,Boone County,12586,45,0.35754012394724294
29021,Buchanan County,6519,268,4.111059978524313
29023,Butler County,3658,57,1.558228540185894
29025,Caldwell County,996,23,2.3092369477911645
29027,Callaway County,2358,27,1.1450381679389312
29029,Camden County,1333,4,0.30007501875468867
29031,Cape Girardeau County,3932,74,1.8819938962360123
29033,Carroll County,1354,41,3.0280649926144756
29035,Carter County,569,6,1.054481546572935
29037,Cass County,4704,18,0.3826530612244898
29039,Cedar County,398,5,1.256281407035176
29041,Chariton County,616,20,3.2467532467532463
29043,Christian County,4414,32,0.724966017217943
29045,Clark County,523,11,2.1032504780114722
29047,Clay County,10634,51,0.47959375587737446
29049,Clinton County,1270,24,1.889763779527559
29051,Cole County,4825,80,1.6580310880829014
29053,Cooper County,1268,13,1.025236593059937
29055,Crawford County,1861,25,1.3433637829124128
29057,Dade County,520,11,2.1153846153846154
29059,Dallas County,813,10,1.2300123001230012
29061,Daviess County,909,11,1.21012101210121
29063,DeKalb County,698,17,2.4355300859598854
29065,Dent County,1390,33,2.3741007194244603
29067,Douglas County,1146,18,1.5706806282722512
29069,Dunklin County,2457,29,1.1803011803011803
29071,Franklin County,5470,51,0.9323583180987203
29073,Gasconade County,1116,20,1.7921146953405016
29075,Gentry County,737,15,2.03527815468114
29077,Greene County,16338,128,0.7834496266372873
29079,Grundy County,1273,16,1.2568735271013356
29081,Harrison County,1047,11,1.0506208213944603
29083,Henry County,1584,26,1.6414141414141417
29085,Hickory County,508,4,0.7874015748031495
29087,Holt County,584,16,2.73972602739726
29089,Howard County,1220,21,1.7213114754098362
29091,Howell County,1827,25,1.3683634373289546
29093,Iron County,2143,99,4.619692020531964
29095,Jackson County,63205,860,1.3606518471639901
29097,Jasper County,15227,346,2.272279503513496
29099,Jefferson County,11113,104,0.9358409070458023
29101,Johnson County,2484,30,1.2077294685990339
29103,Knox County,429,5,1.1655011655011656
29105,Laclede County,2569,7,0.2724795640326975
29107,Lafayette County,2080,17,0.8173076923076924
29109,Lawrence County,2887,30,1.0391409767925182
29111,Lewis County,829,12,1.4475271411338964
29113,Lincoln County,3058,33,1.079136690647482
29115,Linn County,1543,23,1.4906027219701878
29117,Livingston County,1684,38,2.2565320665083135
29119,McDonald County,2227,18,0.8082622361921868
29121,Macon County,1715,20,1.1661807580174928
29123,Madison County,1145,40,3.4934497816593884
29125,Maries County,541,3,0.5545286506469501
29127,Marion County,4041,110,2.7220984904726553
29129,Mercer County,505,4,0.7920792079207921
29131,Miller County,1171,13,1.1101622544833476
29133,Mississippi County,2499,46,1.8407362945178072
29135,Moniteau County,1603,27,1.6843418590143482
29137,Monroe County,827,12,1.4510278113663846
29139,Montgomery County,1508,34,2.2546419098143233
29141,Morgan County,757,8,1.0568031704095113
29143,New Madrid County,1760,9,0.5113636363636364
29145,Newton County,5356,69,1.2882748319641524
29147,Nodaway County,1545,14,0.9061488673139159
29149,Oregon County,1285,17,1.3229571984435797
29151,Osage County,836,15,1.7942583732057416
29153,Ozark County,625,10,1.6
29155,Pemiscot County,1502,14,0.9320905459387484
29157,Perry County,1637,6,0.3665241295051924
29159,Pettis County,4186,133,3.177257525083612
29161,Phelps County,3921,29,0.7396072430502423
29163,Pike County,1341,21,1.5659955257270695
29165,Platte County,3285,14,0.426179604261796
29167,Polk County,2494,30,1.202886928628709
29169,Pulaski County,1674,8,0.4778972520908005
29171,Putnam County,510,7,1.3725490196078431
29173,Ralls County,937,15,1.6008537886872998
29175,Randolph County,1657,45,2.715751357875679
29177,Ray County,1531,27,1.7635532331809274
29179,Reynolds County,548,24,4.37956204379562
29181,Ripley County,1151,17,1.4769765421372718
29183,St. Charles County,12528,60,0.4789272030651341
29185,St. Clair County,756,10,1.3227513227513228
29187,St. Francois County,5718,202,3.5327037425673313
29189,St. Louis County,89810,1039,1.1568867609397617
29195,Saline County,2979,77,2.584759986572675
29197,Schuyler County,593,12,2.0236087689713322
29199,Scotland County,607,13,2.14168039538715
29201,Scott County,5066,18,0.35530990919857874
29203,Shannon County,369,5,1.3550135501355014
29205,Shelby County,981,23,2.344546381243629
29207,Stoddard County,3066,18,0.5870841487279843
29209,Stone County,1269,13,1.024428684003152
29211,Sullivan County,1455,18,1.2371134020618557
29213,Taney County,2047,9,0.4396678065461651
29215,Texas County,1059,9,0.84985835694051
29217,Vernon County,1772,33,1.8623024830699775
29219,Warren County,2112,26,1.231060606060606
29221,Washington County,2519,72,2.8582770940849542
29223,Wayne County,638,11,1.7241379310344827
29225,Webster County,1872,17,0.9081196581196582
29227,Worth County,263,4,1.520912547528517
29229,Wright County,1515,10,0.6600660066006601
29510,St. Louis city,78236,4456,5.695587708983077
29193,Ste. Genevieve,267,2,0.7490636704119851
54001,Barbour County,887,25,2.818489289740699
54003,Berkeley County,2570,25,0.9727626459143969
54005,Boone County,1317,10,0.759301442672741
54007,Braxton County,703,16,2.275960170697013
54009,Brooke County,325,8,2.4615384615384617
54011,Cabell County,5334,120,2.249718785151856
54013,Calhoun County,313,7,2.2364217252396164
54015,Clay County,785,8,1.019108280254777
54017,Doddridge County,211,8,3.7914691943127963
54019,Fayette County,3278,47,1.4338010982306284
54021,Gilmer County,352,12,3.4090909090909087
54023,Grant County,543,8,1.4732965009208103
54025,Greenbrier County,2965,64,2.1585160202360876
54027,Hampshire County,728,17,2.3351648351648353
54029,Hancock County,815,16,1.96319018404908
54031,Hardy County,675,17,2.5185185185185186
54033,Harrison County,3608,71,1.967849223946785
54035,Jackson County,1186,15,1.2647554806070826
54037,Jefferson County,888,8,0.9009009009009009
54039,Kanawha County,10496,61,0.5811737804878049
54041,Lewis County,1550,72,4.645161290322581
54043,Lincoln County,1084,11,1.014760147601476
54045,Logan County,1440,14,0.9722222222222222
54047,McDowell County,935,19,2.0320855614973263
54049,Marion County,3023,84,2.7786966589480646
54051,Marshall County,1093,38,3.476669716376944
54053,Mason County,1062,12,1.1299435028248588
54055,Mercer County,3530,79,2.237960339943343
54057,Mineral County,1333,52,3.900975243810953
54059,Mingo County,743,7,0.9421265141318977
54061,Monongalia County,3123,49,1.569004162664105
54063,Monroe County,556,15,2.697841726618705
54065,Morgan County,606,13,2.145214521452145
54067,Nicholas County,1610,37,2.298136645962733
54069,Ohio County,1451,55,3.790489317711923
54071,Pendleton County,324,10,3.0864197530864197
54073,Pleasants County,188,5,2.6595744680851063
54075,Pocahontas County,391,11,2.813299232736573
54077,Preston County,1514,35,2.3117569352708056
54079,Putnam County,1770,6,0.3389830508474576
54081,Raleigh County,4852,66,1.3602638087386645
54083,Randolph County,1347,21,1.55902004454343
54085,Ritchie County,333,12,3.6036036036036037
54087,Roane County,519,10,1.9267822736030826
54089,Summers County,550,19,3.4545454545454546
